TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-1.04429e-06;-3.28401e-05;-1.32067e-05;-4.70186e-05;8.1951e-05;0.000140779;-1.15185;-1.57516;-2.26881;-1.83245;1.56998;1.57001;-0.0469354;-0.165383;0.0279562;-1.22623;-1.89056;-0.640813;
-1.04483e-06;-3.284e-05;-1.32066e-05;-4.70169e-05;8.19527e-05;0.000140778;-1.15187;-1.57516;-2.26881;-1.83244;1.56998;1.56998;-0.0469382;-0.165384;0.0279541;-1.22624;-1.89058;-0.640833;
-1.04446e-06;-3.28415e-05;-1.32059e-05;-4.70187e-05;8.19511e-05;0.000140779;-1.15186;-1.57514;-2.26881;-1.83248;1.56996;1.57002;-0.046945;-0.165381;0.0279634;-1.22624;-1.89055;-0.640789;
-1.04293e-06;-3.28428e-05;-1.32053e-05;-4.70218e-05;8.19509e-05;0.000140777;-1.15185;-1.57514;-2.26881;-1.83245;1.56992;1.57002;-0.0469497;-0.165391;0.0279594;-1.22622;-1.89058;-0.640734;
0.141497;-0.317525;-0.00325372;-0.849596;-0.378567;-4.15964e-05;-1.15198;-1.57515;-2.26807;-1.83129;1.56976;1.57003;-0.0467528;-0.165979;0.0278576;-1.22728;-1.89208;-0.639688;
0.201214;-0.455343;-0.0304745;-1.24711;-0.555587;-0.0111235;-1.15214;-1.57566;-2.26406;-1.82753;1.5698;1.57042;-0.045631;-0.168524;0.0276824;-1.23167;-1.89768;-0.635953;
0.215067;-0.484405;-0.0291846;-1.2966;-0.579168;-0.00445793;-1.15201;-1.57623;-2.25682;-1.81987;1.56984;1.57008;-0.0434404;-0.173372;0.0273179;-1.23892;-1.90977;-0.628827;
0.384968;-0.853535;0.00811796;-2.33171;-1.03924;0.0349083;-1.15179;-1.57599;-2.2486;-1.80967;1.56954;1.5699;-0.0408468;-0.179313;0.0268637;-1.2483;-1.92534;-0.618948;
0.415996;-0.936167;0.0296165;-2.50767;-1.10973;0.0290276;-1.15175;-1.57571;-2.23841;-1.80192;1.56942;1.57034;-0.0380767;-0.185592;0.0271935;-1.25829;-1.93996;-0.609153;
0.532436;-1.18;0.00525334;-3.248;-1.46494;-0.0177268;-1.15175;-1.57581;-2.22567;-1.78993;1.57;1.57044;-0.034207;-0.193877;0.0273414;-1.27182;-1.95997;-0.596815;
