TCP speed;;;;;;Joint Angles;;;;;;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;
0.501447;-1.12628;0.560534;-3.01068;-1.34043;-6.75938e-10;-1.15192;-1.9198;-1.82258;-1.16302;1.57;1.57;
0.496436;-1.11502;0.586636;-3.00111;-1.33617;-6.73789e-10;-1.15192;-1.9198;-1.81197;-1.14711;1.57;1.57;
0.491223;-1.10331;0.612364;-2.99179;-1.33202;-6.71698e-10;-1.15192;-1.9198;-1.8014;-1.13125;1.57;1.57;
0.485812;-1.09116;0.637709;-2.98273;-1.32799;-6.69664e-10;-1.15192;-1.9198;-1.79086;-1.11544;1.57;1.57;
0.480208;-1.07857;0.66267;-2.97392;-1.32407;-6.67685e-10;-1.15192;-1.9198;-1.78035;-1.09968;1.57;1.57;
0.474414;-1.06556;0.68724;-2.96535;-1.32025;-6.65761e-10;-1.15192;-1.9198;-1.76988;-1.08397;1.57;1.57;
0.468436;-1.05213;0.711416;-2.95702;-1.31654;-6.6389e-10;-1.15192;-1.9198;-1.75944;-1.0683;1.57;1.57;
0.462277;-1.0383;0.735192;-2.94892;-1.31293;-6.62071e-10;-1.15192;-1.9198;-1.74902;-1.05269;1.57;1.57;
0.455941;-1.02407;0.758565;-2.94104;-1.30943;-6.60303e-10;-1.15192;-1.9198;-1.73864;-1.03711;1.57;1.57;
0.449433;-1.00945;0.781531;-2.93339;-1.30602;-6.58585e-10;-1.15192;-1.9198;-1.72829;-1.02158;1.57;1.57;
0.442757;-0.994456;0.804085;-2.92595;-1.30271;-6.56916e-10;-1.15192;-1.9198;-1.71796;-1.0061;1.57;1.57;
0.435916;-0.979091;0.826223;-2.91873;-1.29949;-6.55295e-10;-1.15192;-1.9198;-1.70767;-0.990651;1.57;1.57;
0.428915;-0.963366;0.847943;-2.91172;-1.29637;-6.5372e-10;-1.15192;-1.9198;-1.6974;-0.975244;1.57;1.57;
0.421757;-0.94729;0.86924;-2.90492;-1.29334;-6.52192e-10;-1.15192;-1.9198;-1.68715;-0.959876;1.57;1.57;
0.414447;-0.930871;0.890111;-2.89831;-1.2904;-6.50709e-10;-1.15192;-1.9198;-1.67693;-0.944545;1.57;1.57;
0.406988;-0.914117;0.910552;-2.8919;-1.28755;-6.49271e-10;-1.15192;-1.9198;-1.66673;-0.92925;1.57;1.57;
0.399384;-0.897039;0.93056;-2.88569;-1.28478;-6.47876e-10;-1.15192;-1.9198;-1.65656;-0.91399;1.57;1.57;
0.39164;-0.879643;0.950133;-2.87967;-1.2821;-6.46524e-10;-1.15192;-1.9198;-1.64641;-0.898764;1.57;1.57;
0.383757;-0.86194;0.969266;-2.87384;-1.2795;-6.45214e-10;-1.15192;-1.9198;-1.63628;-0.883572;1.57;1.57;
0.375741;-0.843935;0.987957;-2.86819;-1.27699;-6.43946e-10;-1.15192;-1.9198;-1.62617;-0.868411;1.57;1.57;
0.355074;-0.797515;0.970343;-2.76291;-1.23012;-6.20311e-10;-1.15192;-1.9198;-1.6165;-0.853894;1.57;1.57;
0.332983;-0.747899;0.944289;-2.64111;-1.17589;-5.92964e-10;-1.15192;-1.9198;-1.60724;-0.840017;1.57;1.57;
0.311639;-0.699958;0.915675;-2.5193;-1.12166;-5.65617e-10;-1.15192;-1.9198;-1.59842;-0.82678;1.57;1.57;
0.291038;-0.653688;0.884682;-2.39749;-1.06743;-5.3827e-10;-1.15192;-1.9198;-1.59002;-0.814183;1.57;1.57;
0.271174;-0.609071;0.851482;-2.27569;-1.01319;-5.10922e-10;-1.15192;-1.9198;-1.58205;-0.802226;1.57;1.57;
0.252032;-0.566079;0.816241;-2.15388;-0.958963;-4.83575e-10;-1.15192;-1.9198;-1.57451;-0.790909;1.57;1.57;
0.233597;-0.524672;0.779117;-2.03208;-0.904732;-4.56228e-10;-1.15192;-1.9198;-1.56739;-0.780232;1.57;1.57;
0.215847;-0.484803;0.740265;-1.91027;-0.8505;-4.28881e-10;-1.15192;-1.9198;-1.5607;-0.770195;1.57;1.57;
