TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-2.49587e-05;-1.3069e-05;-1.81049e-05;2.37733e-05;2.29023e-05;0.000177109;-1.30895;-1.52674;-2.26882;-1.83255;1.56992;1.56996;-0.0715134;-0.15871;0.0344196;-1.41288;-1.84363;-0.695444;
-2.49585e-05;-1.30695e-05;-1.81048e-05;2.37719e-05;2.29083e-05;0.000177108;-1.30897;-1.5267;-2.26882;-1.83255;1.56992;1.56995;-0.0715147;-0.158711;0.0344259;-1.41291;-1.84367;-0.695428;
-2.49589e-05;-1.30683e-05;-1.81051e-05;2.37728e-05;2.29018e-05;0.000177109;-1.30897;-1.52674;-2.26882;-1.83255;1.56993;1.56998;-0.0715122;-0.158708;0.0344196;-1.41292;-1.8436;-0.69545;
-2.69873e-05;-1.21552e-05;-1.8105e-05;2.37714e-05;2.29055e-05;0.000164325;-1.30894;-1.52672;-2.26882;-1.83255;1.56993;1.56992;-0.071508;-0.158711;0.0344227;-1.41286;-1.84368;-0.695454;
-2.69873e-05;-1.21552e-05;-1.8105e-05;2.37714e-05;2.29055e-05;0.000164325;-1.30894;-1.52672;-2.26882;-1.83255;1.56993;1.56992;-0.071508;-0.158711;0.0344227;-1.41286;-1.84368;-0.695454;
0.125015;-0.480163;-0.00819834;-1.32356;-0.355015;-0.0261953;-1.3093;-1.52725;-2.26436;-1.82734;1.56973;1.57031;-0.0707452;-0.161957;0.0342221;-1.41881;-1.8502;-0.689846;
0.210343;-0.792928;-0.0275254;-2.21844;-0.5949;-0.0154557;-1.30935;-1.52779;-2.25704;-1.81828;1.56981;1.57024;-0.0692558;-0.167449;0.0339154;-1.42819;-1.86237;-0.680586;
0.203313;-0.760584;0.0410809;-2.05432;-0.559589;0.00238537;-1.30924;-1.5278;-2.24717;-1.80722;1.56982;1.56985;-0.0672985;-0.174672;0.0338946;-1.44006;-1.87877;-0.668176;
0.293648;-1.10801;0.0908778;-2.98291;-0.782256;0.0594516;-1.30906;-1.52724;-2.23654;-1.79745;1.5696;1.5699;-0.065363;-0.182016;0.0344134;-1.45206;-1.89485;-0.655105;
0.319222;-1.18814;0.113662;-3.22108;-0.868747;-0.00366208;-1.30926;-1.5268;-2.22424;-1.78638;1.56974;1.57016;-0.0631016;-0.190421;0.0351823;-1.4665;-1.91261;-0.640583;
0.396616;-1.47499;0.11674;-4.07288;-1.10345;-0.022527;-1.3093;-1.52702;-2.2092;-1.77084;1.57006;1.57026;-0.0601282;-0.201191;0.035977;-1.48451;-1.9355;-0.621939;
0.469385;-1.77272;0.240351;-4.73965;-1.2556;0.0180627;-1.30935;-1.52726;-2.19151;-1.75033;1.56946;1.56977;-0.0567239;-0.214551;0.0370186;-1.50575;-1.96454;-0.597385;
0.51466;-1.96292;0.350142;-5.21372;-1.37552;0.0123247;-1.30938;-1.52766;-2.17076;-1.73063;1.56896;1.57009;-0.0529551;-0.229166;0.0392494;-1.52887;-1.99427;-0.570664;
0.601678;-2.21329;0.458493;-5.94349;-1.62358;-0.0233708;-1.30938;-1.52766;-2.14754;-1.70715;1.56986;1.57012;-0.048228;-0.245854;0.0423196;-1.55616;-2.02904;-0.540523;
0.645255;-2.40037;0.613849;-6.43927;-1.72526;0.0121884;-1.3092;-1.52758;-2.12203;-1.68025;1.56984;1.56983;-0.0431657;-0.264593;0.0464302;-1.58547;-2.0682;-0.50462;
0.631799;-2.34958;0.855345;-6.34954;-1.7048;0.00539874;-1.30898;-1.52713;-2.06643;-1.62591;1.56961;1.56977;-0.0325387;-0.304197;0.0587674;-1.6468;-2.14882;-0.425375;
0.620316;-2.30923;0.972654;-6.31996;-1.69373;0.00741145;-1.30898;-1.52641;-2.04005;-1.60008;1.56976;1.5697;-0.0274894;-0.322839;0.0661695;-1.67596;-2.18686;-0.386057;release send;
0.600952;-2.23325;1.05673;-6.17885;-1.67252;-0.0119383;-1.30908;-1.52592;-2.0145;-1.57615;1.56987;1.56978;-0.0227702;-0.340437;0.0741733;-1.70346;-2.22217;-0.347856;ack recived;
