TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-2.90552e-06;-1.93676e-05;2.18768e-06;-0.000109472;-2.89289e-05;0.000148552;-1.15189;-1.3825;-2.2688;-1.83255;1.56998;1.57002;-0.0430993;-0.173905;0.0543433;-1.32797;-2.04766;-0.53821;
-2.90689e-06;-1.93673e-05;2.18586e-06;-0.000109472;-2.89319e-05;0.000148553;-1.1519;-1.38252;-2.26882;-1.83256;1.57;1.57001;-0.0431014;-0.173888;0.0543376;-1.32796;-2.04762;-0.538274;
-2.90599e-06;-1.93682e-05;2.18585e-06;-0.000109468;-2.89387e-05;0.000148554;-1.15186;-1.38255;-2.26881;-1.83259;1.56997;1.57003;-0.0431049;-0.173892;0.0543382;-1.3279;-2.04759;-0.538235;
-3.09278e-06;-1.89565e-05;3.82676e-07;-9.77947e-05;-2.37292e-05;0.000148532;-1.15191;-1.3825;-2.26881;-1.83256;1.56999;1.57002;-0.043104;-0.173895;0.0543421;-1.32799;-2.04763;-0.538247;
-5.31498e-06;-1.84055e-05;3.83139e-07;-9.77955e-05;-2.37299e-05;0.000135748;-1.15189;-1.3825;-2.26881;-1.83254;1.57;1.56996;-0.0430943;-0.1739;0.0543392;-1.32793;-2.0477;-0.538262;
0.140355;-0.314681;0.0612427;-0.860495;-0.38386;7.05027e-05;-1.15198;-1.38255;-2.26796;-1.83144;1.56979;1.57006;-0.0428909;-0.174534;0.0543864;-1.329;-2.04912;-0.536958;
0.334495;-0.749449;0.0899415;-2.11257;-0.942331;0.0013676;-1.15204;-1.38345;-2.25632;-1.81895;1.56987;1.57034;-0.039411;-0.182301;0.0553994;-1.34155;-2.06757;-0.523816;
0.451335;-1.00709;0.224199;-2.8008;-1.24915;0.0129966;-1.15192;-1.3834;-2.24583;-1.80633;1.56969;1.57;-0.036136;-0.189717;0.056442;-1.35308;-2.08653;-0.510439;
0.529046;-1.19181;0.298484;-3.27167;-1.44448;0.0267238;-1.15186;-1.38331;-2.23223;-1.79437;1.56957;1.57016;-0.0323518;-0.198255;0.0584882;-1.36647;-2.10699;-0.495302;
0.638016;-1.41165;0.374685;-3.92161;-1.77063;-0.00983885;-1.15183;-1.38316;-2.21593;-1.77888;1.57;1.57039;-0.0275499;-0.208712;0.061114;-1.38347;-2.13235;-0.476824;
0.736853;-1.65258;0.497858;-4.58285;-2.04442;0.0022042;-1.1518;-1.38301;-2.19695;-1.75944;1.5699;1.56996;-0.0219554;-0.221309;0.0644646;-1.40288;-2.16337;-0.453625;
0.80693;-1.82263;0.629377;-5.02618;-2.22449;0.0128389;-1.15181;-1.3831;-2.17807;-1.73859;1.56943;1.57012;-0.0163191;-0.234256;0.0681058;-1.42318;-2.19456;-0.428631;
0.908085;-2.00402;0.779309;-5.58158;-2.53304;-0.0213976;-1.15184;-1.38314;-2.15305;-1.71577;1.56956;1.57019;-0.00923078;-0.250065;0.0739917;-1.44779;-2.23208;-0.398614;
0.839626;-1.87546;0.810579;-5.23125;-2.34568;-0.00771849;-1.15162;-1.38314;-2.12768;-1.69126;1.56985;1.57008;-0.00182096;-0.26635;0.0806622;-1.47288;-2.27129;-0.366604;
0.997356;-2.21257;1.09544;-6.30367;-2.81495;0.0330249;-1.15145;-1.38272;-2.10266;-1.66466;1.56978;1.56994;0.00562864;-0.282974;0.0880617;-1.49868;-2.31184;-0.331837;
0.886825;-2.00507;1.12059;-5.7533;-2.56091;-0.0167493;-1.15149;-1.38234;-2.07623;-1.64091;1.56963;1.57004;0.01284;-0.299239;0.0968627;-1.52403;-2.35056;-0.297003;
0.9182;-2.05082;1.22689;-5.92529;-2.66281;-0.0126423;-1.15151;-1.38235;-2.04959;-1.61438;1.56982;1.57033;0.0204086;-0.316073;0.106447;-1.55079;-2.39084;-0.259721;release send;
0.906857;-2.02006;1.35484;-5.98059;-2.67945;0.00454367;-1.15151;-1.3821;-2.02317;-1.58583;1.56988;1.56995;0.0280419;-0.333124;0.116957;-1.57743;-2.43283;-0.2198;ack recived;
0.865191;-1.95353;1.45518;-5.86638;-2.59018;0.00944042;-1.15143;-1.38199;-1.99674;-1.56233;1.56956;1.56989;0.0348896;-0.348604;0.128212;-1.60139;-2.4702;-0.182042;ack recived;
0.834271;-1.86266;1.62647;-5.8374;-2.62791;-0.0106565;-1.15147;-1.38178;-1.94581;-1.51183;1.56987;1.5702;0.048444;-0.37877;0.152408;-1.65046;-2.54468;-0.103375;ack recived;
0.822703;-1.82782;1.71941;-5.88308;-2.63429;0.0104303;-1.15148;-1.38214;-1.92005;-1.48516;1.56981;1.56992;0.0551445;-0.393823;0.165739;-1.67453;-2.58246;-0.0611342;ack recived;
0.788486;-1.76702;1.81085;-5.83465;-2.60543;-0.00120937;-1.15147;-1.38249;-1.89412;-1.45944;1.56952;1.56997;0.0615315;-0.408303;0.179874;-1.69825;-2.61887;-0.018015;ack recived;
0.758184;-1.70368;1.89827;-5.82546;-2.59399;-0.00140969;-1.15147;-1.38254;-1.86851;-1.43424;1.56969;1.56992;0.0677162;-0.422038;0.194676;1.69701;2.617;-0.0248589;ack recived;
0.733212;-1.63532;1.99525;-5.8397;-2.62068;-0.000286104;-1.15147;-1.38252;-1.84286;-1.40894;1.56981;1.56998;0.0736892;-0.43533;0.210262;1.67348;2.58046;-0.0670372;ack recived;
0.706062;-1.57655;2.09041;-5.86337;-2.62797;-7.69335e-05;-1.15149;-1.38244;-1.81722;-1.38306;1.56984;1.56995;0.0794575;-0.448254;0.226647;1.64928;2.54312;-0.108706;ack recived;
0.674136;-1.50758;2.17194;-5.86513;-2.62474;-0.000381365;-1.15143;-1.38244;-1.7915;-1.35726;1.56973;1.56994;0.0849902;-0.460646;0.243734;1.6248;2.50546;-0.149342;ack recived;
0.640319;-1.43185;2.25045;-5.85592;-2.61872;0.000562111;-1.15149;-1.38247;-1.76591;-1.33122;1.56973;1.56995;0.0902467;-0.472483;0.261449;1.60014;2.46717;-0.188809;ack recived;
0.601964;-1.34639;2.32023;-5.82139;-2.60262;0.000523246;-1.15148;-1.38244;-1.74026;-1.30612;1.56978;1.56998;0.0951867;-0.483497;0.279712;1.57554;2.42911;-0.226506;ack recived;
0.565853;-1.2659;2.39113;-5.82131;-2.60196;0.000506319;-1.1515;-1.3824;-1.71483;-1.28059;1.56962;1.57;0.0997968;-0.493951;0.298542;1.55069;2.39055;-0.263614;ack recived;
