TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-9.02599e-06;-1.13222e-05;-1.81944e-05;3.37316e-05;-4.78506e-06;0.000151117;-1.15192;-1.57521;-2.2688;-1.83251;1.57004;1.56995;-0.0469329;-0.165356;0.0279631;-1.22622;-1.8905;-0.640948;
-8.70263e-06;-1.2041e-05;-1.65106e-05;2.20518e-05;-9.9824e-06;0.000151138;-1.15192;-1.57516;-2.2688;-1.83251;1.57004;1.56995;-0.0469357;-0.165365;0.0279679;-1.22626;-1.89052;-0.640968;
-8.70207e-06;-1.2042e-05;-1.65102e-05;2.20565e-05;-9.98465e-06;0.000151138;-1.15187;-1.5752;-2.2688;-1.83253;1.57;1.56997;-0.0469388;-0.165367;0.0279652;-1.22619;-1.89049;-0.640917;
-8.70235e-06;-1.20421e-05;-1.65097e-05;2.20556e-05;-9.9816e-06;0.000151138;-1.1519;-1.57517;-2.26882;-1.83249;1.56999;1.56996;-0.0469465;-0.165365;0.0279591;-1.22621;-1.89052;-0.640907;
0.144933;-0.325255;-0.00927539;-0.882481;-0.393313;-3.92807e-05;-1.15202;-1.5752;-2.26797;-1.83136;1.56986;1.57001;-0.046724;-0.165992;0.0278759;-1.22734;-1.89205;-0.63983;
0.203867;-0.462088;-0.0315749;-1.27127;-0.566298;-0.013275;-1.15221;-1.57571;-2.26384;-1.82771;1.56981;1.57036;-0.0456134;-0.16858;0.0277364;-1.2317;-1.89768;-0.636035;
0.337942;-0.757785;-0.0637229;-2.12413;-0.947708;0.00265621;-1.15213;-1.57625;-2.25612;-1.81877;1.56987;1.57025;-0.0432084;-0.17391;0.02723;-1.24017;-1.91104;-0.627936;
0.461387;-1.04095;0.00548833;-2.81951;-1.25721;0.033939;-1.15195;-1.57625;-2.24556;-1.80613;1.56964;1.56988;-0.0399051;-0.181411;0.0267028;-1.25187;-1.93044;-0.615895;
0.541546;-1.22047;0.0430551;-3.26381;-1.44799;0.028124;-1.15189;-1.57612;-2.23179;-1.79423;1.56946;1.57009;-0.0360191;-0.190226;0.0269694;-1.26562;-1.95144;-0.60213;release send;
0.505193;-1.11112;0.0518279;-2.99846;-1.36236;-0.0150642;-1.15172;-1.57595;-2.21619;-1.77993;1.56996;1.57014;-0.0313206;-0.200366;0.0274087;-1.28173;-1.97599;-0.586634;
0.692329;-1.53482;0.125078;-4.13759;-1.85422;0.0236252;-1.1516;-1.57535;-2.20056;-1.76225;1.56976;1.5698;-0.0264101;-0.211451;0.0277535;-1.2991;-2.0039;-0.568258;ack recived;
0.691217;-1.5652;0.206101;-4.14258;-1.82597;0.0267884;-1.15174;-1.57526;-2.18275;-1.74761;1.56922;1.57038;-0.0215157;-0.222851;0.0291636;-1.31662;-2.02977;-0.549605;ack recived;
0.812304;-1.80856;0.227716;-4.83427;-2.18255;-0.0377595;-1.15186;-1.57557;-2.16247;-1.72879;1.56967;1.57024;-0.0154332;-0.236256;0.0308501;-1.33724;-2.06111;-0.52845;ack recived;
1.03147;-2.30969;0.525424;-6.13477;-2.73143;0.0261075;-1.15162;-1.57619;-2.11395;-1.67746;1.56952;1.56982;-0.000286313;-0.270184;0.0363103;-1.38813;-2.14103;-0.470503;ack recived;
1.02267;-2.2543;0.635156;-5.94445;-2.69909;-0.0247744;-1.15153;-1.57614;-2.08628;-1.65078;1.56948;1.56985;0.00809901;-0.288952;0.0411404;-1.41607;-2.1842;-0.437284;ack recived;
1.0205;-2.27719;0.776197;-6.071;-2.72162;-0.00569987;-1.15135;-1.57574;-2.05833;-1.6225;1.56963;1.56976;0.0167941;-0.308208;0.0470343;-1.44483;-2.229;-0.401878;ack recived;
0.999598;-2.24342;0.884666;-6.02829;-2.67239;0.020565;-1.15124;-1.57503;-2.03152;-1.59596;1.57016;1.56978;0.0251174;-0.326419;0.0537979;-1.47242;-2.27135;-0.367476;ack recived;
0.961036;-2.17038;0.985356;-5.9056;-2.62897;-0.0131105;-1.15149;-1.57442;-2.00569;-1.57208;1.57022;1.56976;0.032654;-0.343459;0.0612557;-1.49806;-2.31022;-0.334125;ack recived;
0.951031;-2.13649;1.04864;-5.81783;-2.59781;-0.00847755;-1.15154;-1.57423;-1.98037;-1.54693;1.56962;1.56982;0.0400758;-0.360534;0.0692182;-1.52321;-2.34898;-0.298716;ack recived;
0.948843;-2.12828;1.1613;-5.85703;-2.61551;-0.00444249;-1.15151;-1.57463;-1.95452;-1.52049;1.56952;1.56977;0.0478122;-0.377918;0.0779947;-1.54878;-2.38854;-0.262076;ack recived;
0.938706;-2.10526;1.26339;-5.84276;-2.60966;-0.00433;-1.15156;-1.57522;-1.92849;-1.49437;1.56987;1.56978;0.0555289;-0.395028;0.0876379;-1.5743;-2.4275;-0.225184;ack recived;
0.918845;-2.05705;1.35436;-5.80628;-2.59417;-0.000891735;-1.15145;-1.57554;-1.90286;-1.46918;1.56981;1.5697;0.0629176;-0.411526;0.0980586;-1.59857;-2.46539;-0.187529;ack recived;
0.889724;-1.97662;1.57758;-5.85395;-2.63379;0.000783368;-1.15135;-1.57563;-1.85156;-1.41794;1.56992;1.56978;0.0774148;-0.443828;0.121641;-1.64756;-2.5408;-0.10821;ack recived;
0.889724;-1.97662;1.57758;-5.85395;-2.63379;0.000783368;-1.15135;-1.57563;-1.85156;-1.41794;1.56992;1.56978;0.0774148;-0.443828;0.121641;-1.64756;-2.5408;-0.10821;ack recived;
0.860869;-1.93605;1.68647;-5.87262;-2.6276;-0.0108313;-1.15141;-1.5756;-1.82591;-1.3917;1.57002;1.56977;0.0844578;-0.459612;0.134735;-1.67204;-2.57832;-0.0663945;ack recived;
0.839327;-1.88221;1.77539;-5.85095;-2.61743;-0.00505346;-1.15148;-1.5756;-1.80324;-1.36632;1.56957;1.56974;0.0906374;-0.473839;0.147171;-1.69425;-2.6124;-0.0259367;ack recived;
0.811146;-1.81904;1.87186;-5.84751;-2.61311;-0.00313718;-1.15155;-1.57548;-1.77602;-1.34052;1.56967;1.56976;0.0974848;-0.489209;0.162587;1.7004;2.62152;-0.0190468;
0.781349;-1.75802;1.97249;-5.84854;-2.61228;-0.0069579;-1.15157;-1.5754;-1.75032;-1.31536;1.56986;1.56974;0.103869;-0.503423;0.177974;1.67684;2.58509;-0.0612838;
0.754616;-1.69407;2.05401;-5.85176;-2.61327;-0.00330044;-1.15155;-1.57541;-1.72487;-1.28942;1.56978;1.56976;0.110038;-0.517281;0.194018;1.65283;2.54801;-0.103091;
0.690356;-1.54398;2.21956;-5.81909;-2.59594;0.00225461;-1.15149;-1.57541;-1.67388;-1.23805;1.56992;1.56978;0.121686;-0.543222;0.228236;1.604;2.47271;-0.182619;
0.655848;-1.4669;2.29802;-5.81517;-2.59361;0.00222047;-1.15157;-1.57544;-1.64842;-1.21258;1.56994;1.56978;0.12702;-0.555279;0.246291;1.57946;2.43459;-0.220647;
0.617225;-1.38834;2.38013;-5.81466;-2.59323;-0.00351583;-1.1516;-1.57543;-1.62295;-1.18736;1.56966;1.5698;0.132006;-0.566686;0.264961;1.55486;2.39635;-0.257872;
0.580226;-1.30754;2.45035;-5.82753;-2.59865;-0.0048653;-1.15165;-1.57543;-1.59743;-1.16169;1.56975;1.56979;0.136829;-0.577508;0.284339;1.5296;2.3573;-0.293979;
0.54093;-1.2196;2.52166;-5.82073;-2.59555;-0.004898;-1.15166;-1.57545;-1.57201;-1.13611;1.56981;1.56977;0.141343;-0.587611;0.304199;1.50419;2.31812;-0.328982;
0.501799;-1.12807;2.58363;-5.8158;-2.59625;-0.00238714;-1.1516;-1.5754;-1.54648;-1.11041;1.56982;1.5698;0.145586;-0.597031;0.324744;1.47841;2.27838;-0.363252;
0.459771;-1.03273;2.64519;-5.80656;-2.59207;-0.00150764;-1.1516;-1.57535;-1.52106;-1.08507;1.56969;1.56979;0.149392;-0.605657;0.34565;1.45277;2.23872;-0.39646;
0.41688;-0.936078;2.70076;-5.79705;-2.58769;-0.00104423;-1.15161;-1.57536;-1.49554;-1.06004;1.5698;1.5698;0.152907;-0.613489;0.366987;1.42698;2.19892;-0.428306;
0.374921;-0.841033;2.75124;-5.80984;-2.59405;-8.49719e-05;-1.15165;-1.57535;-1.47022;-1.03459;1.56992;1.56983;0.156083;-0.620589;0.388741;1.40092;2.15864;-0.459407;
0.330699;-0.741656;2.80563;-5.81731;-2.59736;0.000185357;-1.15163;-1.57534;-1.44491;-1.00905;1.5698;1.56983;0.158882;-0.626933;0.410909;1.37469;2.11809;-0.489949;
0.284609;-0.638287;2.83776;-5.80317;-2.59096;0.000340227;-1.15163;-1.57534;-1.41957;-0.983403;1.56979;1.56988;0.161349;-0.632476;0.433478;1.34823;2.07713;-0.519562;
0.237529;-0.532759;2.87353;-5.79138;-2.58581;0.000245819;-1.15163;-1.57535;-1.3942;-0.957987;1.56992;1.5699;0.163473;-0.637155;0.45632;1.32163;2.03613;-0.548064;
0.142278;-0.321672;2.92972;-5.79148;-2.58448;-0.00134402;-1.15171;-1.57535;-1.34342;-0.907623;1.5699;1.56988;0.166452;-0.643978;0.502719;1.26836;1.95381;-0.602791;
0.0939004;-0.213248;2.96354;-5.80746;-2.5918;-0.0013482;-1.15166;-1.57535;-1.31817;-0.882074;1.56981;1.56994;0.167419;-0.646132;0.526245;1.24142;1.91213;-0.629084;
0.0455081;-0.104302;2.97643;-5.81037;-2.59294;-0.000994182;-1.15167;-1.57535;-1.29283;-0.856261;1.56992;1.56996;0.168013;-0.647417;0.550066;1.21406;1.86997;-0.654631;
-0.00372706;0.00861092;2.98523;-5.79078;-2.58568;0.00201707;-1.15169;-1.57529;-1.26746;-0.830987;1.56988;1.56994;0.168142;-0.647775;0.573907;1.18689;1.82801;-0.679368;
