TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-1.37967e-05;-4.09908e-05;-4.87622e-06;-5.93497e-05;-1.23199e-05;0.000145349;-1.34387;-1.52672;-2.26878;-1.83254;1.56996;1.57001;-0.076996;-0.156135;0.0344263;-1.44826;-1.82285;-0.712792;
-1.37971e-05;-4.099e-05;-4.87739e-06;-5.93496e-05;-1.2328e-05;0.000145349;-1.34386;-1.52671;-2.26883;-1.83256;1.56998;1.57002;-0.0769941;-0.156107;0.0344245;-1.44824;-1.8228;-0.71284;
-1.37975e-05;-4.09905e-05;-4.87742e-06;-5.93477e-05;-1.23283e-05;0.000145349;-1.34387;-1.52672;-2.26883;-1.83256;1.56996;1.57002;-0.0770025;-0.156107;0.0344229;-1.44823;-1.82279;-0.712829;
-1.37964e-05;-4.09903e-05;-4.87702e-06;-5.93501e-05;-1.2326e-05;0.000145349;-1.34385;-1.52671;-2.26882;-1.83255;1.56998;1.57001;-0.0769904;-0.156116;0.0344243;-1.44823;-1.82284;-0.712826;
-1.37959e-05;-4.09913e-05;-4.87682e-06;-5.93468e-05;-1.23288e-05;0.000145349;-1.34383;-1.52671;-2.26883;-1.83256;1.56994;1.57001;-0.0769999;-0.156111;0.0344245;-1.44818;-1.82283;-0.712798;
0.0797013;-0.344546;0.00705582;-0.936402;-0.216705;-1.93214e-05;-1.34393;-1.52674;-2.26817;-1.83146;1.56975;1.57007;-0.0769349;-0.156681;0.0343468;-1.44924;-1.82405;-0.71158;
0.109582;-0.486636;-0.00982765;-1.33833;-0.309347;-0.0202796;-1.34422;-1.52718;-2.26442;-1.82772;1.56978;1.57043;-0.07637;-0.15927;0.0342825;-1.45409;-1.8289;-0.707295;
0.183081;-0.798199;-0.0283188;-2.23821;-0.517386;-0.00981713;-1.34418;-1.52775;-2.25708;-1.81888;1.56984;1.57038;-0.0750755;-0.164776;0.0340059;-1.46345;-1.84075;-0.697846;
0.253106;-1.09734;0.0576515;-2.98884;-0.693536;0.0260081;-1.34409;-1.52775;-2.24685;-1.80628;1.5697;1.56991;-0.0732867;-0.172609;0.0338195;-1.47657;-1.85841;-0.683821;
0.296575;-1.29693;0.100848;-3.47922;-0.79578;0.0270561;-1.34401;-1.5276;-2.23344;-1.79426;1.56948;1.57008;-0.0712037;-0.181842;0.0344595;-1.49179;-1.87753;-0.667489;
0.369749;-1.54169;0.146775;-4.18663;-1.00205;-0.0250606;-1.344;-1.52745;-2.21731;-1.77858;1.56993;1.57028;-0.068437;-0.193244;0.0353333;-1.51126;-1.90122;-0.647572;
0.415481;-1.80136;0.225673;-4.85043;-1.12068;0.00178912;-1.34401;-1.52738;-2.19882;-1.75933;1.57003;1.56994;-0.0652966;-0.206714;0.0365579;-1.53342;-1.92964;-0.623359;
0.51492;-2.22117;0.446491;-5.95096;-1.38044;-0.000920404;-1.34405;-1.52751;-2.15401;-1.71562;1.56938;1.57004;-0.0580525;-0.238852;0.0416148;-1.585;-1.99462;-0.563382;
0.562674;-2.41745;0.585316;-6.48301;-1.51251;-0.00714153;-1.34397;-1.52757;-2.12851;-1.68978;1.56979;1.56994;-0.0536262;-0.257412;0.045536;-1.61477;-2.03211;-0.528132;
0.553523;-2.38395;0.702343;-6.37838;-1.47682;0.0106619;-1.34385;-1.52755;-2.10091;-1.66262;1.56981;1.56988;-0.0489849;-0.27731;0.0508168;-1.64604;-2.07175;-0.488901;
0.555806;-2.39076;0.826301;-6.45518;-1.49564;0.0109833;-1.34367;-1.52736;-2.07321;-1.63491;1.56987;1.56983;-0.0442765;-0.297358;0.0571269;-1.67741;-2.11161;-0.447912;
0.540949;-2.32092;0.927093;-6.33723;-1.46711;0.0155896;-1.34355;-1.52663;-2.04689;-1.60888;1.56969;1.56974;-0.0399139;-0.316249;0.0642325;-1.70691;-2.14922;-0.40741;release send;
0.523629;-2.25318;1.01927;-6.22582;-1.44494;0.00340289;-1.34367;-1.52603;-2.02155;-1.58494;1.56957;1.56986;-0.035879;-0.333972;0.0719453;-1.73482;-2.1838;-0.368377;
0.515853;-2.23326;1.09514;-6.1778;-1.44582;-0.0207103;-1.34382;-1.52587;-1.99629;-1.56002;1.56999;1.56986;-0.0317044;-0.351721;0.080289;-1.76287;-2.21849;-0.328612;ack recived;
0.516952;-2.23996;1.21153;-6.27102;-1.45947;-0.0113362;-1.34389;-1.52641;-1.97054;-1.53403;1.56992;1.56985;-0.0275668;-0.369798;0.0893952;-1.79069;-2.25332;-0.286486;ack recived;
0.506101;-2.22228;1.31486;-6.28655;-1.43062;0.00457405;-1.34388;-1.52692;-1.9446;-1.50728;1.56939;1.5698;-0.0235071;-0.387964;0.0994482;-1.81831;-2.28832;-0.241834;ack recived;
0.500683;-2.16152;1.40831;-6.22457;-1.43478;0.00623826;-1.34374;-1.52719;-1.91882;-1.48176;1.56952;1.56978;-0.0193812;-0.40539;0.110353;-1.84513;-2.32233;-0.197759;ack recived;
0.498513;-2.11132;1.5187;-6.23385;-1.46963;0.00136297;-1.34371;-1.52715;-1.89327;-1.45611;1.57;1.56979;-0.0152982;-0.422403;0.122112;-1.87198;-2.35596;-0.152786;ack recived;
0.480629;-2.06142;1.63224;-6.25082;-1.45546;0.00142597;-1.3437;-1.5271;-1.86762;-1.43065;1.56992;1.56982;-0.0114574;-0.43907;0.134724;-1.89814;-2.3888;-0.106012;ack recived;
0.467539;-2.0156;1.72898;-6.26737;-1.4551;-0.000945039;-1.34368;-1.52709;-1.84179;-1.4047;1.56964;1.56982;-0.00770975;-0.455543;0.148243;-1.92405;-2.42143;-0.0571853;ack recived;
0.419169;-1.81961;2.00962;-6.24254;-1.44787;-0.0054817;-1.34386;-1.52694;-1.76494;-1.32761;1.5697;1.56979;0.00288743;-0.501628;0.193192;1.90888;2.4017;-0.0903932;ack recived;
0.401656;-1.74365;2.09502;-6.22712;-1.4437;-0.00481684;-1.34385;-1.52692;-1.7394;-1.30209;1.56957;1.5698;0.00615166;-0.51587;0.209582;1.88301;2.36905;-0.137585;ack recived;
0.401656;-1.74365;2.09502;-6.22712;-1.4437;-0.00481684;-1.34385;-1.52692;-1.7394;-1.30209;1.56957;1.5698;0.00615166;-0.51587;0.209582;1.88301;2.36905;-0.137585;ack recived;
0.38691;-1.66853;2.17944;-6.22363;-1.44285;0.000344023;-1.34379;-1.52692;-1.71383;-1.27642;1.56984;1.56979;0.00942169;-0.529549;0.226702;1.85636;2.33567;-0.183248;ack recived;
0.370473;-1.58902;2.26514;-6.21992;-1.44193;0.00401793;-1.34375;-1.52696;-1.68822;-1.25118;1.57;1.56979;0.0124914;-0.542529;0.244438;1.8296;2.30207;-0.227488;ack recived;
0.350645;-1.50583;2.33566;-6.22213;-1.44141;0.0032134;-1.34375;-1.52689;-1.66285;-1.22544;1.56978;1.56982;0.0152953;-0.55492;0.26282;1.80252;2.2678;-0.271365;ack recived;
0.305175;-1.3205;2.48606;-6.21207;-1.43882;-0.00114978;-1.34379;-1.52685;-1.61035;-1.1741;1.56981;1.56982;0.0206143;-0.577953;0.302368;1.74619;2.19672;-0.356389;ack recived;
0.283083;-1.22569;2.55097;-6.20445;-1.43654;-0.001248;-1.34382;-1.52685;-1.58481;-1.1485;1.56976;1.56982;0.0229469;-0.588187;0.322569;1.71799;2.16108;-0.396675;ack recived;
0.259781;-1.12515;2.61254;-6.18641;-1.43227;-0.00123046;-1.34383;-1.52679;-1.55924;-1.12354;1.56981;1.5698;0.0251104;-0.597515;0.343214;1.68969;2.12544;-0.435373;
0.237338;-1.02827;2.67072;-6.20783;-1.43714;-0.00120849;-1.34385;-1.52671;-1.53378;-1.09794;1.56976;1.5698;0.0270879;-0.606156;0.36443;1.66084;2.08903;-0.473572;
0.189212;-0.819889;2.77073;-6.20308;-1.43665;-0.00111251;-1.34375;-1.52677;-1.48301;-1.04672;1.56979;1.56986;0.0305871;-0.621003;0.407958;1.60234;2.01541;-0.546468;
0.189212;-0.819889;2.77073;-6.20308;-1.43665;-0.00111251;-1.34375;-1.52677;-1.48301;-1.04672;1.56979;1.56986;0.0305871;-0.621003;0.407958;1.60234;2.01541;-0.546468;
0.138286;-0.597958;2.84721;-6.16411;-1.42859;0.000184379;-1.34381;-1.52677;-1.43228;-0.996488;1.56988;1.56986;0.0331835;-0.632283;0.452754;1.54343;1.94115;-0.614815;
0.113265;-0.489831;2.88479;-6.18692;-1.43395;0.000267756;-1.34379;-1.52676;-1.40686;-0.971085;1.56988;1.5699;0.034207;-0.636647;0.475726;1.51342;1.90331;-0.64783;
0.0870588;-0.376653;2.92263;-6.20071;-1.43705;0.000344674;-1.34379;-1.52679;-1.3815;-0.945418;1.56988;1.56995;0.035017;-0.640155;0.498956;1.48311;1.86505;-0.680024;
0.0606409;-0.262601;2.94179;-6.20242;-1.4372;0.000403292;-1.34381;-1.52679;-1.35616;-0.919642;1.56986;1.56995;0.0355917;-0.642742;0.522449;1.4525;1.82643;-0.711444;
0.0332975;-0.144474;2.95466;-6.17643;-1.43124;0.000470933;-1.34379;-1.52678;-1.33085;-0.894357;1.56996;1.56994;0.0360031;-0.644345;0.545966;1.42186;1.788;-0.741523;
0.00629986;-0.0257971;2.95887;-6.144;-1.4246;0.00184267;-1.34381;-1.52672;-1.30542;-0.869479;1.56993;1.56995;0.0361247;-0.644975;0.569609;1.39132;1.74945;-0.770728;
0.00629986;-0.0257971;2.95887;-6.144;-1.4246;0.00184267;-1.34381;-1.52672;-1.30542;-0.869479;1.56993;1.56995;0.0361247;-0.644975;0.569609;1.39132;1.74945;-0.770728;
-0.0479139;0.208751;2.98634;-6.18959;-1.43484;0.00229887;-1.34377;-1.52674;-1.25475;-0.81862;1.56998;1.56997;0.0358291;-0.643557;0.617208;1.32906;1.67113;-0.826887;
-0.0749637;0.325443;2.984;-6.21045;-1.43892;0.00181588;-1.3438;-1.52676;-1.22941;-0.792781;1.56993;1.57001;0.0353086;-0.641443;0.641152;1.29752;1.63126;-0.853999;
-0.103025;0.445954;2.96876;-6.17462;-1.43036;0.00133369;-1.34379;-1.52674;-1.20402;-0.767542;1.57002;1.57;0.0346178;-0.638332;0.664936;1.26597;1.59168;-0.879902;
