TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-5.98697e-06;-2.35271e-05;-1.0945e-05;-2.44998e-05;-3.11115e-05;0.000207891;-1.1519;-1.69291;-2.26883;-1.83245;1.56996;1.56997;-0.0502941;-0.15793;0.0129008;-1.16312;-1.79306;-0.698098;
-5.9863e-06;-2.35249e-05;-1.09458e-05;-2.45012e-05;-3.11142e-05;0.000207891;-1.15189;-1.69295;-2.2688;-1.83245;1.56999;1.56991;-0.0502775;-0.15794;0.0128974;-1.16308;-1.7931;-0.698167;
-8.00612e-06;-2.28833e-05;-1.09455e-05;-2.44999e-05;-3.11142e-05;0.000195108;-1.15191;-1.69292;-2.26881;-1.83249;1.56997;1.56997;-0.0502916;-0.157932;0.012908;-1.16313;-1.79304;-0.698128;
-8.00428e-06;-2.28834e-05;-1.09454e-05;-2.44999e-05;-3.11125e-05;0.000195108;-1.15187;-1.69293;-2.26878;-1.83248;1.56997;1.56991;-0.0502805;-0.157946;0.0129059;-1.16306;-1.79312;-0.698131;
-8.0056e-06;-2.28833e-05;-1.09452e-05;-2.4502e-05;-3.111e-05;0.000195108;-1.15192;-1.69291;-2.2688;-1.83248;1.56997;1.56992;-0.0502897;-0.15794;0.012908;-1.16312;-1.79309;-0.698146;
0.202353;-0.457762;-0.0907983;-1.27718;-0.56867;-0.0105469;-1.15217;-1.69339;-2.264;-1.82776;1.56978;1.57031;-0.049011;-0.161017;0.012279;-1.16844;-1.80025;-0.693645;
0.32825;-0.738818;-0.160467;-2.09406;-0.932414;-0.00544442;-1.15214;-1.69396;-2.25634;-1.81881;1.56981;1.57027;-0.046672;-0.166234;0.0110788;-1.17706;-1.8136;-0.686096;
0.389508;-0.883589;-0.0941701;-2.36973;-1.04796;0.0330197;-1.15175;-1.69387;-2.2327;-1.79547;1.56982;1.56991;-0.0396746;-0.1818;0.00886929;-1.20171;-1.853;-0.663415;
0.581671;-1.27722;-0.100177;-3.48097;-1.56677;0.0208544;-1.15156;-1.69319;-2.21979;-1.78195;1.5699;1.56988;-0.0356996;-0.190594;0.00789906;-1.21607;-1.87548;-0.650049;
0.603928;-1.36538;-0.0613693;-3.66909;-1.62515;0.0224204;-1.15169;-1.69295;-2.20497;-1.76836;1.56979;1.56992;-0.0314148;-0.200329;0.00729068;-1.2315;-1.89898;-0.635634;
0.714082;-1.61194;-0.0862758;-4.32475;-1.92499;-0.00772505;-1.15173;-1.69328;-2.18714;-1.7513;1.56969;1.57032;-0.026142;-0.212238;0.00667146;-1.25027;-1.92704;-0.617715;
0.714082;-1.61194;-0.0862758;-4.32475;-1.92499;-0.00772505;-1.15173;-1.69328;-2.18714;-1.7513;1.56969;1.57032;-0.026142;-0.212238;0.00667146;-1.25027;-1.92704;-0.617715;
0.942843;-2.12602;0.114291;-5.53677;-2.45959;0.0165343;-1.15166;-1.69391;-2.14331;-1.70567;1.56969;1.57019;-0.0125316;-0.242735;0.00624838;-1.2972;-1.99965;-0.570752;
0.942843;-2.12602;0.114291;-5.53677;-2.45959;0.0165343;-1.15166;-1.69391;-2.14331;-1.70567;1.56969;1.57019;-0.0125316;-0.242735;0.00624838;-1.2972;-1.99965;-0.570752;
1.05774;-2.3281;0.197886;-6.09336;-2.76407;-0.0238729;-1.15156;-1.69385;-2.11782;-1.67984;1.56997;1.56997;-0.00449147;-0.26053;0.00732312;-1.32411;-2.04147;-0.542808;
1.01717;-2.30186;0.577511;-5.98284;-2.66049;-0.012323;-1.15129;-1.69286;-2.03546;-1.59883;1.5702;1.56973;0.0213526;-0.318134;0.0170694;-1.40913;-2.17335;-0.446781;release send;
1.00501;-2.25961;0.680658;-5.90115;-2.62972;-0.00258532;-1.15145;-1.6922;-2.00989;-1.57486;1.56979;1.5698;0.0290693;-0.335831;0.0221056;-1.43492;-2.21279;-0.415127;
0.994876;-2.23229;0.743011;-5.78189;-2.59193;-0.018528;-1.15151;-1.69213;-1.98449;-1.54947;1.56992;1.56982;0.0370399;-0.353664;0.0276706;-1.46097;-2.25261;-0.382777;ack recived;
1.00375;-2.25474;0.869799;-5.88881;-2.63568;-0.0152818;-1.15159;-1.69258;-1.95855;-1.52296;1.57009;1.56983;0.045204;-0.371924;0.0340384;-1.48744;-2.29302;-0.348786;ack recived;
0.990377;-2.23591;0.971835;-5.85906;-2.59683;0.00245071;-1.15151;-1.69306;-1.93241;-1.49681;1.56962;1.56979;0.0532056;-0.390118;0.041366;-1.51306;-2.33298;-0.313155;ack recived;
0.977678;-2.20176;1.07321;-5.8408;-2.58379;0.0122058;-1.15145;-1.69325;-1.90673;-1.47148;1.56982;1.56974;0.0611256;-0.407686;0.0495481;-1.5383;-2.37196;-0.27803;ack recived;
0.977034;-2.16965;1.19137;-5.84118;-2.63545;-0.00676058;-1.15145;-1.69333;-1.88119;-1.44602;1.57009;1.56979;0.0689419;-0.425037;0.0585866;-1.56356;-2.41059;-0.241911;ack recived;
0.958563;-2.1407;1.30472;-5.87007;-2.62869;-0.00045055;-1.15138;-1.69331;-1.8554;-1.42019;1.56991;1.56974;0.0766667;-0.442403;0.0686212;-1.58853;-2.4494;-0.203707;ack recived;
0.939724;-2.1121;1.41241;-5.88411;-2.61745;0.000837859;-1.15145;-1.6933;-1.82971;-1.39376;1.56981;1.56978;0.0842764;-0.459609;0.0795051;-1.61379;-2.48801;-0.164174;ack recived;
0.914001;-2.0622;1.51421;-5.84808;-2.6007;-0.00580742;-1.15153;-1.69336;-1.80388;-1.36853;1.56988;1.56982;0.091673;-0.476231;0.0912267;-1.63832;-2.52542;-0.124611;ack recived;
0.892848;-2.01106;1.61183;-5.84739;-2.59988;-0.00258739;-1.15159;-1.69327;-1.7783;-1.34287;1.56979;1.56978;0.0988819;-0.492538;0.103772;-1.66256;-2.56265;-0.0834723;ack recived;
0.871767;-1.96104;1.72058;-5.84492;-2.6026;-0.00275449;-1.15155;-1.69322;-1.75273;-1.31763;1.56963;1.5698;0.105905;-0.508353;0.117082;-1.68622;-2.59907;-0.0414879;ack recived;
0.848497;-1.9083;1.81342;-5.85415;-2.60811;-0.00311428;-1.15154;-1.69318;-1.72723;-1.29167;1.56997;1.56978;0.112921;-0.523851;0.131208;1.70976;2.63535;-0.00153361;ack recived;
0.792086;-1.77852;1.99903;-5.81994;-2.59776;-0.00257645;-1.1515;-1.69318;-1.67618;-1.24038;1.56984;1.56982;0.12608;-0.553412;0.161732;1.66249;2.56232;-0.0868335;ack recived;
0.763611;-1.71044;2.08553;-5.81717;-2.59632;0.00067407;-1.15153;-1.69319;-1.65077;-1.21498;1.56981;1.56982;0.132266;-0.567338;0.178019;1.63859;2.52534;-0.127417;ack recived;
0.73213;-1.64011;2.17701;-5.81388;-2.59439;0.000751895;-1.15159;-1.69321;-1.62532;-1.18963;1.56981;1.56982;0.138193;-0.580721;0.195025;1.61446;2.4879;-0.166877;ack recived;
0.697978;-1.57062;2.26075;-5.83553;-2.60359;-0.00382592;-1.15165;-1.69321;-1.5998;-1.16399;1.56981;1.56977;0.143897;-0.593609;0.212808;1.58983;2.44982;-0.205563;ack recived;
0.662603;-1.49222;2.34455;-5.8335;-2.60288;-0.00435388;-1.15161;-1.69324;-1.57439;-1.13823;1.56974;1.56978;0.149367;-0.605879;0.231195;1.56493;2.41141;-0.243247;ack recived;
0.622935;-1.40251;2.41072;-5.80246;-2.58744;-0.0038891;-1.1516;-1.69319;-1.54882;-1.11278;1.56987;1.56984;0.15457;-0.617451;0.250303;1.53982;2.37257;-0.279595;
0.545776;-1.22713;2.55961;-5.80382;-2.58794;-0.00224098;-1.15161;-1.69312;-1.4979;-1.06242;1.56982;1.56984;0.163903;-0.63845;0.29004;1.48936;2.29461;-0.349215;
0.545776;-1.22713;2.55961;-5.80382;-2.58794;-0.00224098;-1.15161;-1.69312;-1.4979;-1.06242;1.56982;1.56984;0.163903;-0.63845;0.29004;1.48936;2.29461;-0.349215;
0.509309;-1.14495;2.62495;-5.84358;-2.60567;-0.00195315;-1.15161;-1.69311;-1.47261;-1.0365;1.56981;1.56983;0.16815;-0.64799;0.310768;1.46352;2.25474;-0.382949;
0.422326;-0.94946;2.7374;-5.81868;-2.59446;-0.00161112;-1.15162;-1.69312;-1.42198;-0.98501;1.56981;1.56989;0.175614;-0.664769;0.353629;1.41151;2.1743;-0.447361;
0.376309;-0.846256;2.77921;-5.79161;-2.58267;-0.00233226;-1.15168;-1.69312;-1.39656;-0.959727;1.56981;1.5699;0.178764;-0.671943;0.375683;1.38546;2.13393;-0.478036;
0.330674;-0.743857;2.82618;-5.78287;-2.57897;-0.00228153;-1.15166;-1.69311;-1.37118;-0.934503;1.56986;1.56995;0.181618;-0.678282;0.398097;1.3592;2.09338;-0.507703;
0.286429;-0.644623;2.87287;-5.81301;-2.59245;-0.00222965;-1.15166;-1.69312;-1.34582;-0.908847;1.56975;1.56995;0.18408;-0.683883;0.420938;1.33264;2.05232;-0.536947;
