TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
6.51694e-06;-4.54258e-05;9.21395e-06;-0.000133899;-6.82706e-05;0.000152614;-1.15184;-1.47362;-2.26882;-1.83256;1.57002;1.5699;-0.0446509;-0.170431;0.0416453;-1.27995;-1.97378;-0.588284;
6.51615e-06;-4.54265e-05;9.213e-06;-0.0001339;-6.82696e-05;0.000152614;-1.15186;-1.47366;-2.26882;-1.83255;1.57002;1.56995;-0.0446544;-0.170431;0.0416386;-1.28;-1.97371;-0.588285;
6.5164e-06;-4.54255e-05;9.21638e-06;-0.000133904;-6.82621e-05;0.000152615;-1.15186;-1.4736;-2.26881;-1.83254;1.57003;1.56992;-0.0446466;-0.17044;0.0416472;-1.28003;-1.9738;-0.588264;
6.51668e-06;-4.54267e-05;9.21222e-06;-0.000133897;-6.82735e-05;0.000152614;-1.15184;-1.47363;-2.26884;-1.83256;1.57;1.56992;-0.0446587;-0.170421;0.0416394;-1.27994;-1.97373;-0.588279;
0.141126;-0.316535;0.0305078;-0.853564;-0.380646;2.45145e-05;-1.15197;-1.47363;-2.26796;-1.83128;1.56986;1.56997;-0.0444164;-0.171105;0.0416122;-1.28119;-1.9754;-0.587011;
0.203276;-0.460661;0.0229508;-1.29186;-0.57582;-0.0131369;-1.15216;-1.47409;-2.26386;-1.82819;1.5699;1.57033;-0.0433487;-0.173542;0.0418436;-1.28531;-1.98051;-0.58337;
0.336757;-0.75477;0.0150238;-2.10182;-0.937053;0.00179703;-1.1521;-1.47457;-2.25628;-1.81893;1.56986;1.57026;-0.0409529;-0.17892;0.0418693;-1.29381;-1.99391;-0.574533;
0.469738;-1.05629;0.154452;-2.8752;-1.26545;0.0628989;-1.15165;-1.4742;-2.23548;-1.79812;1.5697;1.56989;-0.0347478;-0.192764;0.0432062;-1.31501;-2.02849;-0.55136;
0.507602;-1.119;0.180369;-3.0659;-1.38897;-0.0073748;-1.15173;-1.47366;-2.22284;-1.78724;1.56986;1.57015;-0.0311469;-0.200763;0.0445546;-1.32807;-2.04769;-0.538033;
0.507602;-1.119;0.180369;-3.0659;-1.38897;-0.0073748;-1.15173;-1.47366;-2.22284;-1.78724;1.56986;1.57015;-0.0311469;-0.200763;0.0445546;-1.32807;-2.04769;-0.538033;
