TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-9.11095e-06;-3.51221e-05;-3.63319e-06;-6.9325e-05;-3.15911e-05;7.96722e-05;-0.872698;-1.52673;-2.2688;-1.83254;1.56993;1.56995;0.00225926;-0.174072;0.0344229;-0.957639;-2.05675;-0.471154;
-9.11095e-06;-3.51221e-05;-3.63319e-06;-6.9325e-05;-3.15911e-05;7.96722e-05;-0.872698;-1.52673;-2.2688;-1.83254;1.56993;1.56995;0.00225926;-0.174072;0.0344229;-0.957639;-2.05675;-0.471154;
-9.11148e-06;-3.51212e-05;-3.6343e-06;-6.93238e-05;-3.15939e-05;7.9673e-05;-0.87271;-1.52672;-2.26882;-1.83256;1.56996;1.57;0.00225124;-0.174055;0.0344246;-0.957699;-2.05668;-0.471175;
-9.11231e-06;-3.51212e-05;-3.6341e-06;-6.93242e-05;-3.15918e-05;7.9673e-05;-0.872734;-1.52673;-2.26881;-1.83256;1.56994;1.56992;0.00224801;-0.174061;0.0344249;-0.957646;-2.05671;-0.471213;
0.223747;-0.266515;0.0134718;-0.713843;-0.599411;-7.90096e-05;-0.872842;-1.52674;-2.26807;-1.83127;1.56978;1.57;0.00224801;-0.174061;0.0344249;-0.957646;-2.05671;-0.471213;
0.320308;-0.386684;-0.00544651;-1.05805;-0.888083;-0.0234805;-0.87307;-1.52724;-2.26422;-1.82737;1.56975;1.57031;0.00435502;-0.176724;0.0342519;-0.962146;-2.06467;-0.467352;
0.533497;-0.637713;-0.0238378;-1.78125;-1.49528;-0.00988106;-0.873058;-1.52778;-2.25667;-1.81815;1.56984;1.57027;0.0081334;-0.181187;0.0339574;-0.968926;-2.0792;-0.461051;
0.730365;-0.866658;0.0644822;-2.34844;-1.98258;0.020198;-0.872902;-1.52779;-2.24622;-1.80554;1.56967;1.56986;0.0133561;-0.187444;0.033811;-0.977856;-2.10007;-0.451797;
0.854166;-1.02159;0.107366;-2.73857;-2.28908;0.0242963;-0.872877;-1.52764;-2.23273;-1.79352;1.56966;1.57003;0.019466;-0.19472;0.0344745;-0.988673;-2.12286;-0.441292;
1.02982;-1.21115;0.149732;-3.28553;-2.79256;-0.0181723;-0.872902;-1.52749;-2.21648;-1.77758;1.57004;1.57018;0.0271648;-0.203733;0.035354;-1.0025;-2.15155;-0.428329;
1.19365;-1.41802;0.232236;-3.81698;-3.21588;-0.00933583;-0.872865;-1.52739;-2.19772;-1.75817;1.57005;1.5698;0.0361861;-0.214463;0.0366401;-1.01795;-2.18578;-0.412391;
