TCP speed;;;;;;Joint Angles;;;;;;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;
0;0;0;0;0;0;-1.15192;-1.9198;-2.2689;-1.8325;1.57;1.57;
0;0;0;0;0;0;-1.15192;-1.9198;-2.2689;-1.8325;1.57;1.57;
0;0;0;0;0;0;-1.15192;-1.9198;-2.2689;-1.8325;1.57;1.57;
0;0;0;0;0;0;-1.15192;-1.9198;-2.2689;-1.8325;1.57;1.57;
0.0837902;-0.188197;-0.0866663;-0.566399;-0.252175;-1.27164e-10;-1.15192;-1.9198;-2.26762;-1.83122;1.57;1.57;
0.254197;-0.570941;-0.250718;-1.6992;-0.756525;-3.81492e-10;-1.15192;-1.9198;-2.25762;-1.82122;1.57;1.57;
0.342148;-0.768482;-0.32333;-2.2656;-1.0087;-5.08657e-10;-1.15192;-1.9198;-2.2489;-1.81251;1.57;1.57;
0.342148;-0.768482;-0.32333;-2.2656;-1.0087;-5.08657e-10;-1.15192;-1.9198;-2.2489;-1.81251;1.57;1.57;
0.432731;-0.971937;-0.386279;-2.83199;-1.26088;-6.35821e-10;-1.15192;-1.9198;-2.23771;-1.80131;1.57;1.57;
0.523254;-1.17526;-0.43416;-3.37777;-1.50387;-7.58354e-10;-1.15192;-1.9198;-2.22403;-1.78763;1.57;1.57;
0.52826;-1.1865;-0.399996;-3.35846;-1.49527;-7.54019e-10;-1.15192;-1.9198;-2.20797;-1.77157;1.57;1.57;
0.532155;-1.19525;-0.366059;-3.33625;-1.48538;-7.49034e-10;-1.15192;-1.9198;-2.19236;-1.75596;1.57;1.57;
0.535638;-1.20307;-0.332684;-3.31512;-1.47598;-7.4429e-10;-1.15192;-1.9198;-2.17709;-1.74069;1.57;1.57;
0.538766;-1.2101;-0.299591;-3.29488;-1.46696;-7.39744e-10;-1.15192;-1.9198;-2.162;-1.7256;1.57;1.57;
0.541536;-1.21632;-0.266704;-3.27529;-1.45824;-7.35347e-10;-1.15192;-1.9198;-2.14707;-1.71067;1.57;1.57;
0.543934;-1.2217;-0.234125;-3.2563;-1.44979;-7.31083e-10;-1.15192;-1.9198;-2.13234;-1.69594;1.57;1.57;
0.546016;-1.22638;-0.201669;-3.23793;-1.44161;-7.26958e-10;-1.15192;-1.9198;-2.11769;-1.68129;1.57;1.57;
0.547757;-1.23029;-0.169407;-3.22003;-1.43364;-7.2294e-10;-1.15192;-1.9198;-2.10318;-1.66678;1.57;1.57;
0.549175;-1.23348;-0.137337;-3.20264;-1.42589;-7.19034e-10;-1.15192;-1.9198;-2.08877;-1.65237;1.57;1.57;
0.550277;-1.23595;-0.105463;-3.18571;-1.41836;-7.15234e-10;-1.15192;-1.9198;-2.07447;-1.63807;1.57;1.57;
0.55107;-1.23773;-0.0737844;-3.16923;-1.41102;-7.11534e-10;-1.15192;-1.9198;-2.06026;-1.62386;1.57;1.57;
0.551561;-1.23884;-0.0423074;-3.15317;-1.40387;-7.07929e-10;-1.15192;-1.9198;-2.04615;-1.60975;1.57;1.57;
0.551756;-1.23927;-0.0110359;-3.13752;-1.3969;-7.04415e-10;-1.15192;-1.9198;-2.03212;-1.59572;1.57;1.57;
0.551661;-1.23906;0.020021;-3.12226;-1.39011;-7.0099e-10;-1.15192;-1.9198;-2.01818;-1.58178;1.57;1.57;
0.551281;-1.23821;0.050859;-3.10738;-1.38348;-6.97649e-10;-1.15192;-1.9198;-2.00432;-1.56792;1.57;1.57;
0.550622;-1.23673;0.0814692;-3.09286;-1.37702;-6.94389e-10;-1.15192;-1.9198;-1.99054;-1.55414;1.57;1.57;
0.54969;-1.23463;0.111845;-3.07869;-1.37071;-6.91207e-10;-1.15192;-1.9198;-1.97683;-1.54043;1.57;1.57;
0.54969;-1.23463;0.111845;-3.07869;-1.37071;-6.91207e-10;-1.15192;-1.9198;-1.97683;-1.54043;1.57;1.57;
0.54849;-1.23194;0.141979;-3.06486;-1.36455;-6.88101e-10;-1.15192;-1.9198;-1.96319;-1.52679;1.57;1.57;
0.547027;-1.22865;0.171864;-3.05135;-1.35854;-6.85068e-10;-1.15192;-1.9198;-1.94962;-1.51322;1.57;1.57;
0.545306;-1.22479;0.201491;-3.03816;-1.35266;-6.82106e-10;-1.15192;-1.9198;-1.93612;-1.49972;1.57;1.57;
0.543332;-1.22035;0.230854;-3.02527;-1.34693;-6.79213e-10;-1.15192;-1.9198;-1.92268;-1.48628;1.57;1.57;
0.54111;-1.21536;0.259946;-3.01268;-1.34132;-6.76386e-10;-1.15192;-1.9198;-1.90931;-1.47291;1.57;1.57;
0.538645;-1.20983;0.288759;-3.00037;-1.33584;-6.73623e-10;-1.15192;-1.9198;-1.896;-1.4596;1.57;1.57;
0.533003;-1.19715;0.345521;-2.97659;-1.32525;-6.68284e-10;-1.15192;-1.9198;-1.86955;-1.43315;1.57;1.57;
0.533003;-1.19715;0.345521;-2.97659;-1.32525;-6.68284e-10;-1.15192;-1.9198;-1.86955;-1.43315;1.57;1.57;
0.529836;-1.19004;0.373456;-2.9651;-1.32014;-6.65703e-10;-1.15192;-1.9198;-1.8564;-1.42;1.57;1.57;
0.522832;-1.17431;0.428403;-2.94287;-1.31024;-6.60713e-10;-1.15192;-1.9198;-1.83029;-1.39389;1.57;1.57;
0.522832;-1.17431;0.428403;-2.94287;-1.31024;-6.60713e-10;-1.15192;-1.9198;-1.83029;-1.39389;1.57;1.57;
0.514964;-1.15664;0.482077;-2.92161;-1.30077;-6.5594e-10;-1.15192;-1.9198;-1.80437;-1.36797;1.57;1.57;
0.510717;-1.1471;0.508422;-2.91133;-1.2962;-6.53632e-10;-1.15192;-1.9198;-1.79149;-1.35509;1.57;1.57;
0.506267;-1.1371;0.534431;-2.90127;-1.29172;-6.51374e-10;-1.15192;-1.9198;-1.77866;-1.34226;1.57;1.57;
0.501618;-1.12666;0.560099;-2.89143;-1.28734;-6.49164e-10;-1.15192;-1.9198;-1.76587;-1.32947;1.57;1.57;
0.496775;-1.11578;0.585418;-2.8818;-1.28305;-6.47003e-10;-1.15192;-1.9198;-1.75313;-1.31673;1.57;1.57;
0.491741;-1.10448;0.610388;-2.87238;-1.27886;-6.44888e-10;-1.15192;-1.9198;-1.74044;-1.30404;1.57;1.57;
0.486522;-1.09275;0.634999;-2.86316;-1.27475;-6.42818e-10;-1.15192;-1.9198;-1.72778;-1.29139;1.57;1.57;
0.481119;-1.08062;0.65925;-2.85414;-1.27074;-6.40793e-10;-1.15192;-1.9198;-1.71518;-1.27878;1.57;1.57;
0.475539;-1.06809;0.683133;-2.84531;-1.26681;-6.38811e-10;-1.15192;-1.9198;-1.70261;-1.26621;1.57;1.57;
