TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-1.75414e-05;7.81623e-06;-1.64104e-05;6.22366e-05;-9.98054e-05;0.000219602;-1.15185;-1.57516;-2.26883;-1.83245;1.56988;1.56996;-0.046964;-0.165383;0.0279532;-1.22612;-1.89058;-0.640753;
-1.75414e-05;7.81806e-06;-1.64119e-05;6.2222e-05;-9.98099e-05;0.000219603;-1.15186;-1.57516;-2.2688;-1.83248;1.56996;1.56995;-0.0469433;-0.165385;0.0279618;-1.22617;-1.89059;-0.640833;
-1.75417e-05;7.81796e-06;-1.64116e-05;6.22221e-05;-9.98079e-05;0.000219605;-1.15187;-1.57514;-2.26883;-1.83245;1.56994;1.56995;-0.0469524;-0.165376;0.0279563;-1.22618;-1.89059;-0.640821;
-1.75415e-05;7.81831e-06;-1.64115e-05;6.22213e-05;-9.98131e-05;0.000219602;-1.1519;-1.57515;-2.26882;-1.83248;1.56994;1.56992;-0.0469567;-0.165374;0.0279602;-1.22617;-1.89058;-0.640859;
-1.75409e-05;7.8169e-06;-1.64117e-05;6.22266e-05;-9.98035e-05;0.000219606;-1.15186;-1.57514;-2.26881;-1.83247;1.56992;1.56996;-0.0469528;-0.165387;0.0279614;-1.22617;-1.8906;-0.640778;
0.144062;-0.323242;-0.00696009;-0.872352;-0.38898;3.19079e-05;-1.15195;-1.57518;-2.26798;-1.83135;1.56979;1.57001;-0.0467309;-0.166001;0.027874;-1.22723;-1.8921;-0.639712;
0.202339;-0.458687;-0.0320145;-1.25602;-0.55967;-0.0134193;-1.15217;-1.57568;-2.26384;-1.82765;1.56975;1.57034;-0.0456155;-0.168603;0.0277312;-1.23166;-1.8978;-0.635912;
0.335425;-0.754932;-0.0647824;-2.11441;-0.94213;-0.00642376;-1.1521;-1.5762;-2.25623;-1.8187;1.56973;1.57028;-0.0432531;-0.173897;0.0272101;-1.24009;-1.91105;-0.62775;
0.465256;-1.04103;0.0076411;-2.82502;-1.26448;0.0193636;-1.15195;-1.57622;-2.2456;-1.8061;1.56964;1.5699;-0.0399089;-0.181402;0.0266992;-1.25191;-1.93045;-0.61587;
0.539285;-1.22257;0.0415782;-3.26564;-1.44075;0.033133;-1.1519;-1.57606;-2.23179;-1.79419;1.56957;1.56998;-0.0359893;-0.190225;0.0269733;-1.26565;-1.95159;-0.602252;
0.659545;-1.45461;0.0724566;-3.93885;-1.78327;-0.0196246;-1.15184;-1.57588;-2.21549;-1.77849;1.56996;1.57024;-0.0310586;-0.201004;0.0273307;-1.28312;-1.97765;-0.585469;
0.684832;-1.54862;0.182368;-4.10184;-1.81402;0.0179009;-1.15168;-1.57592;-2.17579;-1.73991;1.56969;1.56983;-0.0192107;-0.227678;0.029423;-1.32366;-2.04153;-0.542534;
0.870325;-1.95251;0.316243;-5.22263;-2.31716;0.030116;-1.15169;-1.57539;-2.15566;-1.71847;1.56975;1.5698;-0.0129148;-0.241759;0.0311317;-1.34573;-2.07547;-0.518797;
0.894641;-1.98156;0.418536;-5.25402;-2.37645;-0.026354;-1.15181;-1.57526;-2.13328;-1.69877;1.56938;1.57015;-0.00648854;-0.256485;0.0340055;-1.368;-2.10897;-0.493826;
0.98341;-2.20234;0.496364;-5.84292;-2.61595;-0.0154548;-1.15172;-1.57554;-2.10838;-1.6746;1.57027;1.57024;0.00128944;-0.273279;0.0375859;-1.39376;-2.14789;-0.465769;
1.02958;-2.30455;0.660222;-6.07001;-2.70561;0.00847603;-1.15167;-1.57583;-2.08131;-1.64499;1.56996;1.56964;0.0097988;-0.292536;0.0421214;-1.42195;-2.19307;-0.431097;
1.00753;-2.27641;0.787954;-6.07167;-2.67574;0.0334868;-1.1515;-1.57593;-2.05345;-1.61855;1.56915;1.56973;0.018007;-0.311357;0.0481498;-1.44914;-2.23563;-0.395853;released;
1.01649;-2.22351;0.887657;-5.98885;-2.73765;-0.0114394;-1.15144;-1.57517;-2.02704;-1.59175;1.56991;1.56977;0.0263161;-0.329428;0.0549515;-1.47685;-2.27784;-0.361615;
0.965465;-2.15187;1.08267;-5.89779;-2.63703;0.00645418;-1.15148;-1.57432;-1.97539;-1.54173;1.56985;1.56997;0.0416675;-0.363898;0.0708353;-1.52843;-2.35665;-0.291918;
0.965465;-2.15187;1.08267;-5.89779;-2.63703;0.00645418;-1.15148;-1.57432;-1.97539;-1.54173;1.56985;1.56997;0.0416675;-0.363898;0.0708353;-1.52843;-2.35665;-0.291918;
0.949862;-2.13948;1.18946;-5.89327;-2.63474;-0.0183579;-1.15154;-1.57471;-1.94937;-1.51536;1.56988;1.5698;0.0494103;-0.381281;0.0798513;-1.55404;-2.39632;-0.255207;
