TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-1.73169e-05;-1.52056e-05;-1.4681e-05;1.10364e-05;-8.00785e-06;7.5218e-05;-0.87271;-1.52672;-2.26881;-1.83255;1.56998;1.57002;0.00226192;-0.174058;0.0344246;-0.957747;-2.05669;-0.471179;
-1.73169e-05;-1.52056e-05;-1.4681e-05;1.10364e-05;-8.00785e-06;7.5218e-05;-0.87271;-1.52672;-2.26881;-1.83255;1.56998;1.57002;0.00226192;-0.174058;0.0344246;-0.957747;-2.05669;-0.471179;
-1.73168e-05;-1.52054e-05;-1.46809e-05;1.10381e-05;-8.00959e-06;7.52177e-05;-0.872698;-1.52673;-2.26882;-1.83255;1.56998;1.57;0.00225982;-0.174053;0.0344211;-0.9577;-2.05668;-0.471194;
-1.73172e-05;-1.52059e-05;-1.46812e-05;1.10338e-05;-8.00384e-06;7.52186e-05;-0.872734;-1.52671;-2.26878;-1.83254;1.56997;1.57002;0.00226499;-0.174072;0.0344279;-0.957785;-2.05672;-0.47116;
0.224433;-0.267314;0.0113234;-0.719521;-0.604241;-8.49485e-05;-0.87283;-1.52676;-2.26805;-1.83134;1.56979;1.57008;0.00262075;-0.174591;0.0343447;-0.958627;-2.05834;-0.470252;
0.31713;-0.382811;-0.0082135;-1.04834;-0.879981;-0.0231319;-0.87307;-1.52724;-2.26415;-1.82748;1.56974;1.57039;0.00435793;-0.176732;0.03428;-0.962207;-2.06459;-0.46731;
0.524198;-0.626946;-0.0314305;-1.7509;-1.46977;-0.0111986;-0.873034;-1.52774;-2.25661;-1.81828;1.56979;1.57033;0.00812681;-0.181194;0.0339923;-0.968917;-2.07915;-0.46097;
0.723822;-0.860372;0.0604835;-2.34116;-1.97383;0.0208193;-0.872926;-1.52775;-2.24614;-1.80566;1.56964;1.56994;0.0133548;-0.187458;0.0338483;-0.977941;-2.10002;-0.451746;
0.85277;-1.02413;0.105706;-2.74655;-2.29099;0.0343213;-0.872926;-1.52767;-2.23256;-1.79351;1.56943;1.57004;0.019462;-0.194824;0.0344992;-0.988674;-2.12298;-0.440995;
1.02808;-1.20462;0.149055;-3.27052;-2.78971;-0.0238484;-0.872914;-1.52752;-2.2164;-1.7776;1.56982;1.57025;0.02714;-0.203798;0.0353655;-1.00249;-2.15153;-0.428045;
1.19174;-1.4153;0.230006;-3.81374;-3.20955;-0.00314706;-0.872854;-1.52738;-2.19766;-1.75825;1.56997;1.56986;0.0361759;-0.214483;0.036665;-1.01795;-2.18574;-0.412269;
1.31774;-1.57697;0.337327;-4.2053;-3.51538;0.00795725;-0.872877;-1.52751;-2.1763;-1.73725;1.56964;1.57;0.0462148;-0.226583;0.0387618;-1.03541;-2.22307;-0.393641;
1.46492;-1.74784;0.451852;-4.6727;-3.91471;0.00646572;-0.872902;-1.5276;-2.15261;-1.71412;1.56952;1.57004;0.0574045;-0.23997;0.041783;-1.05471;-2.2643;-0.372807;
1.65287;-1.95311;0.738149;-5.28274;-4.43767;0.0415136;-0.87253;-1.52715;-2.10259;-1.66301;1.56984;1.5698;0.0817142;-0.268644;0.0504821;-1.09582;-2.35388;-0.326189;
1.48918;-1.78488;0.791509;-4.8117;-4.02955;-0.00769489;-0.872578;-1.52683;-2.07618;-1.6395;1.5698;1.56989;0.0937893;-0.283052;0.0566439;-1.11645;-2.39771;-0.301871;
1.54602;-1.83687;0.892104;-4.96354;-4.19195;-0.0150995;-0.872542;-1.52685;-2.04952;-1.61239;1.56999;1.57016;0.106593;-0.298195;0.0634734;-1.13864;-2.44434;-0.275276;release send;
1.53342;-1.82147;1.01834;-4.99382;-4.20608;-0.000348186;-0.87253;-1.52679;-2.02312;-1.5843;1.56993;1.56976;0.119356;-0.313406;0.0711595;-1.16015;-2.49183;-0.247327;
1.493;-1.78592;1.12697;-4.9312;-4.11437;0.0137977;-0.872505;-1.52671;-1.99684;-1.56054;1.56981;1.56974;0.131162;-0.327498;0.0798177;-1.18022;-2.53503;-0.220654;ack recived;
1.45396;-1.74389;1.20332;-4.90522;-4.11305;-0.014889;-0.872662;-1.52636;-1.97174;-1.53493;1.56991;1.5697;0.142823;-0.341422;0.088962;-1.20083;-2.57877;-0.193028;ack recived;
1.4544;-1.72806;1.3221;-4.91173;-4.14834;-0.0102578;-0.872626;-1.52649;-1.94601;-1.50965;1.56981;1.56995;0.154461;-0.355298;0.09901;-1.22133;-2.622;-0.164321;ack recived;
1.44133;-1.70745;1.41125;-4.93317;-4.15119;0.0100129;-0.872602;-1.52673;-1.92026;-1.48269;1.57004;1.56977;0.166292;-0.369273;0.109911;-1.24191;-2.66669;-0.134354;ack recived;
1.40337;-1.66947;1.52521;-4.91371;-4.13485;-0.00173652;-0.87259;-1.52696;-1.89425;-1.45688;1.56981;1.56977;0.17766;-0.382896;0.121734;-1.26212;-2.71012;-0.103354;ack recived;
