TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-1.93079e-05;-4.67232e-05;-1.65584e-06;-9.90236e-05;-8.82687e-06;0.000117684;-0.959991;-1.52671;-2.2688;-1.83251;1.5699;1.56994;-0.0129293;-0.173618;0.0344223;-1.05062;-2.02106;-0.516909;
-1.93066e-05;-4.6723e-05;-1.65691e-06;-9.90223e-05;-8.83387e-06;0.000117685;-0.959955;-1.52671;-2.2688;-1.83254;1.56992;1.56995;-0.0129211;-0.17361;0.0344261;-1.05059;-2.02104;-0.51692;
-2.28279e-05;-4.16982e-05;-3.61579e-06;-8.8556e-05;-1.49354e-06;0.000117686;-0.959967;-1.52667;-2.26882;-1.83253;1.56992;1.56995;-0.012927;-0.173604;0.0344254;-1.05062;-2.02106;-0.516916;
-1.74826e-05;-3.79464e-05;-3.62361e-06;-8.01887e-05;-1.34567e-05;9.86775e-05;-0.959967;-1.52666;-2.26882;-1.83251;1.56993;1.56991;-0.0129223;-0.173605;0.0344251;-1.0506;-2.0211;-0.516937;
0.205965;-0.293974;0.00539551;-0.802091;-0.562066;-4.38977e-05;-0.960087;-1.52674;-2.26808;-1.8314;1.56973;1.56998;-0.0126321;-0.174144;0.0343521;-1.05148;-2.02256;-0.515983;
0.284459;-0.410759;-0.00902641;-1.13805;-0.79721;-0.0193083;-0.960278;-1.52719;-2.26412;-1.82779;1.56976;1.57028;-0.0110817;-0.176386;0.0343389;-1.05523;-2.0285;-0.512897;
0.468436;-0.670126;-0.0310511;-1.8709;-1.31074;-0.00591573;-0.960243;-1.52766;-2.2566;-1.81893;1.56984;1.57028;-0.0077603;-0.181084;0.0341046;-1.06248;-2.0424;-0.506044;
0.650063;-0.925036;0.0573922;-2.52843;-1.76969;0.00871009;-0.960171;-1.52772;-2.24615;-1.80631;1.56972;1.56996;-0.00310845;-0.187762;0.0339465;-1.07246;-2.06268;-0.495937;
0.764542;-1.09364;0.102646;-2.94339;-2.05248;0.0137245;-0.960122;-1.52767;-2.23255;-1.79431;1.56968;1.57014;0.00236465;-0.195578;0.0346136;-1.08418;-2.08488;-0.484357;
0.764542;-1.09364;0.102646;-2.94339;-2.05248;0.0137245;-0.960122;-1.52767;-2.23255;-1.79431;1.56968;1.57014;0.00236465;-0.195578;0.0346136;-1.08418;-2.08488;-0.484357;
1.06659;-1.51551;0.2273;-4.0886;-2.87555;-0.00587106;-0.960099;-1.52734;-2.1976;-1.75942;1.57006;1.56996;0.0172138;-0.21658;0.0368256;-1.11588;-2.1458;-0.452688;
1.06659;-1.51551;0.2273;-4.0886;-2.87555;-0.00587106;-0.960099;-1.52734;-2.1976;-1.75942;1.57006;1.56996;0.0172138;-0.21658;0.0368256;-1.11588;-2.1458;-0.452688;
1.21668;-1.73457;0.412079;-4.68863;-3.27626;0.0232257;-0.960003;-1.527;-2.15679;-1.71861;1.56976;1.5699;0.0345482;-0.241424;0.0413669;-1.15234;-2.2165;-0.413047;
