TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-2.40525e-05;5.39578e-05;1.20391e-05;0.000191932;2.08937e-05;4.10563e-05;-1.15199;-1.57509;-2.26889;-1.83255;1.57004;1.57006;-0.0469682;-0.165315;0.0279711;-1.2264;-1.89036;-0.640979;
-2.40549e-05;5.39562e-05;1.20387e-05;0.000191931;2.09029e-05;4.10563e-05;-1.15195;-1.57508;-2.26888;-1.83257;1.57004;1.57003;-0.0469599;-0.165319;0.0279782;-1.22633;-1.8904;-0.640967;
-2.40539e-05;5.39558e-05;1.20388e-05;0.000191934;2.09012e-05;4.10556e-05;-1.15196;-1.57508;-2.26886;-1.83261;1.57;1.57002;-0.0469695;-0.165325;0.0279874;-1.2263;-1.8904;-0.640949;
-2.40542e-05;5.39563e-05;1.2041e-05;0.000191934;2.09002e-05;4.10542e-05;-1.15196;-1.57513;-2.26888;-1.83256;1.57;1.57006;-0.0469709;-0.165322;0.0279699;-1.22632;-1.89035;-0.640942;
-2.40526e-05;5.39563e-05;1.20404e-05;0.000191935;2.08957e-05;4.10542e-05;-1.15198;-1.57511;-2.26886;-1.8326;1.57;1.57004;-0.0469732;-0.165324;0.0279807;-1.22634;-1.89035;-0.640961;
0.0163632;-0.0367026;-0.0088597;-0.115524;-0.0515666;1.45311e-05;-1.15195;-1.57509;-2.2688;-1.83241;1.57002;1.57003;-0.0469336;-0.165394;0.0279591;-1.22644;-1.8906;-0.640822;
0.0287239;-0.0644324;-0.0149791;-0.201691;-0.0899748;-5.07091e-06;-1.15197;-1.57513;-2.26845;-1.83162;1.56999;1.57003;-0.0468003;-0.165716;0.0278654;-1.22704;-1.8915;-0.640256;
0.0435654;-0.097729;-0.0212424;-0.303061;-0.135158;-2.789e-05;-1.15198;-1.57518;-2.26765;-1.83013;1.57002;1.57002;-0.0464972;-0.166384;0.0277111;-1.22825;-1.89333;-0.639173;
0.0600254;-0.13465;-0.0306398;-0.415862;-0.18545;-6.20811e-05;-1.15197;-1.5752;-2.26651;-1.82796;1.56998;1.57006;-0.046072;-0.167358;0.0274937;-1.23001;-1.89602;-0.637452;
0.0734154;-0.164699;-0.0380068;-0.514211;-0.22927;-7.94061e-05;-1.15201;-1.5752;-2.26508;-1.82505;1.57;1.57006;-0.0455106;-0.168613;0.0271949;-1.23238;-1.89957;-0.635306;
0.0862486;-0.193465;-0.0431081;-0.601933;-0.268405;-9.89034e-05;-1.15196;-1.57516;-2.26345;-1.82181;1.57;1.57003;-0.0448677;-0.17004;0.0268797;-1.23493;-1.90364;-0.632814;
0.100716;-0.225933;-0.0478766;-0.699222;-0.311755;-0.000120351;-1.15198;-1.57518;-2.26154;-1.81796;1.56999;1.57006;-0.0441228;-0.171727;0.0264995;-1.23804;-1.90834;-0.629882;
0.128625;-0.288542;-0.0572941;-0.889643;-0.396638;-0.000160874;-1.15198;-1.57522;-2.25678;-1.80812;1.56999;1.57006;-0.0422231;-0.175988;0.0255541;-1.2458;-1.92029;-0.622447;
0.142475;-0.319623;-0.060555;-0.982107;-0.437841;-0.000180395;-1.15199;-1.57521;-2.25395;-1.8025;1.57003;1.57007;-0.0411033;-0.17848;0.0250601;-1.25035;-1.9272;-0.618135;
0.156123;-0.350241;-0.06365;-1.07358;-0.478614;-0.000199788;-1.15199;-1.57521;-2.25084;-1.79659;1.56999;1.57004;-0.0399102;-0.181181;0.0245806;-1.25511;-1.93462;-0.613448;
0.170343;-0.382131;-0.0656123;-1.16693;-0.520242;-0.000219386;-1.15198;-1.57518;-2.24751;-1.79014;1.57;1.57006;-0.0386016;-0.184104;0.0240758;-1.26033;-1.94264;-0.608353;
0.183618;-0.411896;-0.068052;-1.25632;-0.560109;-0.000238279;-1.15197;-1.57522;-2.24391;-1.7828;1.56997;1.57007;-0.0371596;-0.187358;0.023492;-1.2661;-1.95155;-0.602604;
0.198641;-0.4456;-0.0680541;-1.35258;-0.603021;-0.000258138;-1.15197;-1.57522;-2.24008;-1.7748;1.57;1.57002;-0.035582;-0.190873;0.0228873;-1.27236;-1.96124;-0.596441;
0.213954;-0.47994;-0.0662844;-1.44822;-0.645655;-0.000293077;-1.15196;-1.57522;-2.23591;-1.76663;1.57004;1.57002;-0.03391;-0.194595;0.0223489;-1.27891;-1.97131;-0.589932;
0.240558;-0.539656;-0.0634392;-1.61996;-0.722169;-0.000328141;-1.15198;-1.5752;-2.22691;-1.74872;1.56998;1.57006;-0.0302929;-0.202759;0.0212965;-1.29319;-1.99321;-0.575422;
0.257178;-0.576888;-0.0591822;-1.72298;-0.768165;-0.000348905;-1.15195;-1.57523;-2.222;-1.73853;1.56998;1.57006;-0.0282464;-0.207335;0.0207438;-1.3011;-2.00546;-0.567233;
0.273678;-0.613907;-0.0520053;-1.82179;-0.812217;-0.000367738;-1.15195;-1.57527;-2.21671;-1.72838;1.56997;1.57006;-0.0261295;-0.212091;0.0203266;-1.30921;-2.01795;-0.558791;
0.288069;-0.646233;-0.0452585;-1.91006;-0.851514;-0.000384818;-1.15197;-1.57528;-2.21121;-1.71732;1.57;1.57004;-0.0238566;-0.217177;0.0199054;-1.31796;-2.03135;-0.549705;
0.303727;-0.681364;-0.0381841;-2.0058;-0.894193;-0.000406571;-1.15197;-1.57524;-2.20552;-1.70551;1.57005;1.57004;-0.0214462;-0.222552;0.0195175;-1.32719;-2.04551;-0.539977;
0.307486;-0.689783;-0.0251828;-2.01776;-0.899553;-0.000406175;-1.15196;-1.57527;-2.19952;-1.694;1.57;1.57004;-0.0190158;-0.22803;0.0193011;-1.33632;-2.05963;-0.530063;
0.306856;-0.688347;-0.0159411;-2.01186;-0.896952;-0.000399117;-1.15195;-1.57523;-2.19355;-1.68176;1.56996;1.57008;-0.0165027;-0.233694;0.0190973;-1.34586;-2.07429;-0.519608;
0.308323;-0.691689;-0.00364602;-2.01208;-0.896991;-0.000396353;-1.15197;-1.57526;-2.18758;-1.66998;1.57;1.57002;-0.014015;-0.239255;0.0190267;-1.35511;-2.08856;-0.509506;
0.307988;-0.690854;0.00893412;-2.00002;-0.891728;-0.000390888;-1.15192;-1.57521;-2.1817;-1.65862;1.57;1.57002;-0.0115733;-0.244707;0.019089;-1.36406;-2.10245;-0.499443;
0.307899;-0.690717;0.0154098;-2.00437;-0.893586;-0.000386145;-1.15196;-1.57514;-2.17603;-1.64652;1.57005;1.57002;-0.00909436;-0.250255;0.0191249;-1.3734;-2.1167;-0.489053;
0.310902;-0.697443;0.0311572;-2.0105;-0.896341;-0.000382984;-1.15195;-1.57522;-2.17015;-1.63511;1.56999;1.57004;-0.00665867;-0.255753;0.019332;-1.38231;-2.13042;-0.478778;
0.312217;-0.700422;0.0514377;-2.01156;-0.89679;-0.000381226;-1.15196;-1.57529;-2.15846;-1.61142;1.56996;1.57004;-0.00166889;-0.266977;0.0199433;-1.40057;-2.15851;-0.457513;
0.312217;-0.700422;0.0514377;-2.01156;-0.89679;-0.000381226;-1.15196;-1.57529;-2.15846;-1.61142;1.56996;1.57004;-0.00166889;-0.266977;0.0199433;-1.40057;-2.15851;-0.457513;
0.314548;-0.705593;0.0758616;-2.01663;-0.899134;-0.000376484;-1.15192;-1.57524;-2.1466;-1.58775;1.57;1.57004;0.00341182;-0.278321;0.0210001;-1.41886;-2.1867;-0.435747;
0.314971;-0.706612;0.0904842;-2.0184;-0.899833;-0.000362436;-1.15196;-1.57518;-2.14072;-1.57612;1.57004;1.57006;0.00591663;-0.283939;0.0216853;-1.42795;-2.20054;-0.424865;
0.314971;-0.706612;0.0904842;-2.0184;-0.899833;-0.000362436;-1.15196;-1.57518;-2.14072;-1.57612;1.57004;1.57006;0.00591663;-0.283939;0.0216853;-1.42795;-2.20054;-0.424865;
0.313486;-0.703318;0.1093;-2.00001;-0.891609;-0.000369383;-1.15197;-1.5752;-2.1291;-1.55263;1.56999;1.57004;0.0109193;-0.295202;0.0232477;-1.44586;-2.22813;-0.402654;
0.316493;-0.71005;0.125143;-2.01245;-0.89718;-0.000367706;-1.15196;-1.57529;-2.12319;-1.54103;1.57;1.57004;0.0134385;-0.300838;0.0241797;-1.45472;-2.24178;-0.391517;
0.315613;-0.708017;0.134377;-2.00167;-0.892465;-0.000373933;-1.15192;-1.57528;-2.11729;-1.52924;1.57;1.57004;0.0159885;-0.306533;0.0252219;-1.46366;-2.25563;-0.380056;
0.314136;-0.704706;0.160108;-1.99444;-0.889237;-0.000354405;-1.15192;-1.57523;-2.10561;-1.50604;1.57002;1.57002;0.0210072;-0.317784;0.0275862;-1.48131;-2.28283;-0.357159;
0.313728;-0.703814;0.169529;-1.99743;-0.890538;-0.00035048;-1.15193;-1.57522;-2.09981;-1.49418;1.56998;1.57004;0.0235256;-0.323466;0.0288834;-1.49024;-2.2965;-0.345344;
0.314955;-0.706689;0.181773;-2.00386;-0.893262;-0.000353501;-1.15199;-1.57528;-2.09388;-1.48242;1.56996;1.57002;0.0260428;-0.329175;0.0302986;-1.49914;-2.3101;-0.333486;
0.314793;-0.706293;0.193901;-1.99699;-0.890259;-0.000358384;-1.15197;-1.57534;-2.08792;-1.47087;1.56997;1.57003;0.0285747;-0.33483;0.0318227;-1.50787;-2.32355;-0.321655;
0.313946;-0.704319;0.20472;-2.00229;-0.892706;-0.00034597;-1.15193;-1.57532;-2.08216;-1.45884;1.56999;1.57002;0.0311341;-0.340528;0.0333966;-1.51673;-2.33729;-0.309466;
0.312684;-0.701446;0.21868;-1.99345;-0.888819;-0.000338551;-1.15191;-1.57532;-2.0763;-1.44747;1.57005;1.57007;0.0336363;-0.346081;0.035102;-1.52536;-2.35047;-0.297607;
0.312048;-0.70009;0.229241;-1.99411;-0.889027;-0.000336202;-1.15195;-1.57522;-2.07049;-1.43594;1.57005;1.57002;0.036112;-0.351665;0.0369141;-1.53401;-2.36381;-0.285448;
0.312009;-0.700075;0.239691;-1.99921;-0.891214;-0.000336188;-1.15198;-1.57528;-2.06471;-1.42401;1.57;1.57004;0.0386082;-0.357328;0.0387531;-1.5428;-2.3772;-0.272953;
0.312617;-0.701452;0.256085;-1.99732;-0.890367;-0.000337488;-1.15198;-1.5753;-2.05878;-1.41259;1.56994;1.57003;0.0410815;-0.362917;0.0407542;-1.55131;-2.39035;-0.260546;
0.309278;-0.693854;0.262904;-1.98167;-0.883538;-0.000335743;-1.15192;-1.5753;-2.05302;-1.40078;1.57;1.57006;0.0436153;-0.36851;0.0427999;-1.55994;-2.40369;-0.247978;
0.307683;-0.690286;0.286998;-1.97918;-0.882423;-0.00033053;-1.15192;-1.57527;-2.04137;-1.37817;1.56999;1.57001;0.0484949;-0.379465;0.0472183;-1.57667;-2.42956;-0.222986;
0.306973;-0.688694;0.296641;-1.98453;-0.88481;-0.000328613;-1.15192;-1.5753;-2.03563;-1.36622;1.57002;1.57003;0.0509901;-0.385047;0.0495254;-1.58531;-2.44276;-0.209975;
0.308262;-0.691683;0.312112;-1.99734;-0.890407;-0.000327971;-1.15197;-1.57533;-2.02971;-1.35474;1.56997;1.57003;0.0534222;-0.390581;0.0519886;-1.59379;-2.4557;-0.196958;
0.306434;-0.687537;0.324079;-1.99332;-0.888666;-0.000321264;-1.15195;-1.5753;-2.02387;-1.34305;1.56999;1.57007;0.0559008;-0.396104;0.0545374;-1.6023;-2.46875;-0.183766;
0.304928;-0.684117;0.333786;-1.99341;-0.888765;-0.000318997;-1.15192;-1.57529;-2.0181;-1.33117;1.57004;1.57003;0.0583882;-0.401629;0.0571591;-1.61077;-2.48191;-0.170399;
0.303944;-0.681769;0.347172;-1.99094;-0.88769;-0.00018893;-1.15191;-1.57529;-2.01221;-1.31999;1.56999;1.57002;0.0607753;-0.407005;0.0598856;-1.61891;-2.49452;-0.157251;
0.301547;-0.676353;0.355653;-1.98576;-0.885458;-0.000203621;-1.15192;-1.57527;-2.00637;-1.30824;1.57002;1.57006;0.0632212;-0.412488;0.0627223;-1.62741;-2.50746;-0.143633;
0.301547;-0.676353;0.355653;-1.98576;-0.885458;-0.000203621;-1.15192;-1.57527;-2.00637;-1.30824;1.57002;1.57006;0.0632212;-0.412488;0.0627223;-1.62741;-2.50746;-0.143633;
0.30092;-0.67491;0.382539;-1.99777;-0.890866;-0.000198126;-1.1519;-1.57534;-1.99469;-1.28503;1.56997;1.57002;0.0680374;-0.423302;0.068602;-1.64388;-2.53296;-0.116235;
0.297276;-0.6668;0.389115;-1.98739;-0.886154;-0.000192289;-1.15193;-1.57529;-1.98899;-1.27316;1.57002;1.57002;0.0704331;-0.428682;0.0716755;-1.65228;-2.54577;-0.102264;
0.296642;-0.665515;0.403451;-1.99137;-0.887924;-0.000317009;-1.15193;-1.57527;-1.98319;-1.26166;1.57004;1.57004;0.0728;-0.433976;0.074848;-1.66048;-2.55831;-0.0883669;
0.293789;-0.658155;0.414061;-1.983;-0.885741;-0.000429382;-1.15191;-1.57524;-1.97736;-1.25034;1.57004;1.57007;0.0751426;-0.439207;0.0781077;-1.66853;-2.57069;-0.0744358;
0.294318;-0.65559;0.439743;-1.99809;-0.898624;-0.000693551;-1.15192;-1.57527;-1.96569;-1.22683;1.57006;1.57007;0.0798693;-0.449808;0.0849391;-1.68494;-2.59589;-0.0455376;
0.290701;-0.649358;0.449144;-1.99181;-0.892764;-0.000460332;-1.15192;-1.57527;-1.95992;-1.21517;1.57011;1.57004;0.0822001;-0.455006;0.0884611;-1.693;-2.60834;-0.0310564;
0.28777;-0.643754;0.458475;-1.98956;-0.890164;-0.000351164;-1.1519;-1.57522;-1.95409;-1.20341;1.5701;1.57004;0.084532;-0.460219;0.0921253;-1.70109;-2.62085;-0.0161868;
0.285738;-0.639683;0.471362;-1.9885;-0.888903;-0.000298292;-1.1519;-1.57518;-1.94823;-1.19209;1.57014;1.57006;0.0868054;-0.465296;0.0958492;-1.70901;-2.633;-0.00159923;
0.281988;-0.631603;0.478408;-1.98037;-0.884749;-0.000264294;-1.15192;-1.57521;-1.94245;-1.18028;1.5701;1.57006;0.0890735;-0.470436;0.0996407;1.70384;2.62494;-0.0134146;
0.281988;-0.631603;0.478408;-1.98037;-0.884749;-0.000264294;-1.15192;-1.57521;-1.94245;-1.18028;1.5701;1.57006;0.0890735;-0.470436;0.0996407;1.70384;2.62494;-0.0134146;
-0.00115014;0.00318098;-0.0498729;0.103401;0.0447697;-5.22007e-05;-1.15185;-1.57526;-1.93176;-1.1588;1.57024;1.56998;0.0932903;-0.479718;0.106847;1.68883;2.60219;-0.0402397;
0.0393596;-0.0524793;0.111087;-0.271725;-0.122284;0.0300285;-1.15156;-1.57427;-1.93098;-1.15615;1.5701;1.56986;0.0938044;-0.480628;0.107972;1.6863;2.59944;-0.0440978;
-0.0502777;0.118858;0.00171724;0.219131;0.098937;0.0058405;-1.15175;-1.5728;-1.93287;-1.16091;1.56987;1.57004;0.092815;-0.478783;0.107266;1.68924;2.60292;-0.0400918;
