TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-9.51272e-06;-2.51078e-05;-2.38374e-06;-8.08512e-05;1.08151e-06;0.000152873;-1.15185;-1.39625;-2.26883;-1.83253;1.56994;1.56997;-0.0433117;-0.173447;0.0523956;-1.32067;-2.03659;-0.545893;
-9.51292e-06;-2.5107e-05;-2.38347e-06;-8.08526e-05;1.08441e-06;0.000152872;-1.15186;-1.39623;-2.2688;-1.83256;1.56996;1.56997;-0.0433077;-0.173453;0.0524111;-1.3207;-2.0366;-0.545898;
-9.51229e-06;-2.51079e-05;-2.38263e-06;-8.08526e-05;1.08714e-06;0.000152872;-1.15186;-1.39623;-2.26881;-1.83253;1.56993;1.57;-0.043312;-0.173459;0.052404;-1.32072;-2.03661;-0.545848;
-9.51249e-06;-2.51075e-05;-2.38376e-06;-8.08522e-05;1.08138e-06;0.000152873;-1.15184;-1.39624;-2.26882;-1.83254;1.56996;1.57;-0.0433056;-0.173449;0.0524012;-1.32069;-2.03659;-0.545883;
0.141884;-0.318139;0.0566391;-0.878029;-0.391633;9.12088e-05;-1.15198;-1.39628;-2.26798;-1.83145;1.56979;1.57004;-0.0431015;-0.174068;0.0524399;-1.32179;-2.03801;-0.544689;
0.200889;-0.454204;0.0601113;-1.27585;-0.568905;-0.0101947;-1.15214;-1.3967;-2.26396;-1.82771;1.56981;1.57036;-0.0419854;-0.17661;0.0527873;-1.32613;-2.04361;-0.540542;
0.335264;-0.748254;0.0763281;-2.10153;-0.938513;0.010609;-1.15205;-1.39715;-2.25638;-1.8187;1.56987;1.57028;-0.0395967;-0.181896;0.0533;-1.33446;-2.05673;-0.531532;
0.319514;-0.7131;0.149863;-1.96068;-0.882971;0.0154113;-1.15179;-1.39714;-2.24642;-1.80763;1.56987;1.56983;-0.0365098;-0.188716;0.0542796;-1.34474;-2.07418;-0.519648;
0.460417;-1.03788;0.242494;-2.85319;-1.25053;0.0618246;-1.15165;-1.39659;-2.23563;-1.79815;1.56972;1.56992;-0.0334909;-0.195526;0.0558503;-1.35545;-2.0909;-0.5074;
0.50022;-1.10479;0.279852;-3.07185;-1.3875;0.000575243;-1.15178;-1.39612;-2.22299;-1.78718;1.5697;1.57022;-0.0299856;-0.203442;0.0578531;-1.36841;-2.10988;-0.493294;
0.724539;-1.6407;0.483687;-4.50963;-1.9827;0.0339118;-1.15171;-1.39644;-2.18973;-1.75132;1.56961;1.5698;-0.0199275;-0.226008;0.0631303;-1.40347;-2.16504;-0.452175;
0.798163;-1.8071;0.621185;-4.96786;-2.19899;0.00376659;-1.15168;-1.3967;-2.16863;-1.73182;1.56908;1.57007;-0.0140346;-0.23955;0.0674711;-1.42417;-2.19671;-0.426589;
