TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
5.31065e-06;-4.49152e-05;-2.92614e-06;-6.64589e-05;-3.17378e-05;9.89461e-05;-1.04726;-1.52671;-2.26881;-1.83256;1.57003;1.56998;-0.0279908;-0.171797;0.0344281;-1.14282;-1.98179;-0.562424;
5.31047e-06;-4.49151e-05;-2.92779e-06;-6.64578e-05;-3.17408e-05;9.89463e-05;-1.04726;-1.52674;-2.26882;-1.83255;1.57004;1.56998;-0.0279904;-0.171791;0.0344196;-1.14281;-1.98176;-0.562454;
5.31152e-06;-4.49154e-05;-2.92495e-06;-6.64605e-05;-3.1735e-05;9.89458e-05;-1.04725;-1.5267;-2.2688;-1.83254;1.57003;1.56995;-0.0279825;-0.171808;0.0344277;-1.1428;-1.98186;-0.562414;
5.30894e-06;-4.4915e-05;-2.9251e-06;-6.64636e-05;-3.17327e-05;9.89458e-05;-1.0473;-1.52669;-2.2688;-1.83255;1.57006;1.56997;-0.0279834;-0.1718;0.0344313;-1.1429;-1.98182;-0.562464;
2.24191e-06;-3.9603e-05;-4.88462e-06;-5.53909e-05;-2.53407e-05;9.89479e-05;-1.04725;-1.5267;-2.2688;-1.83256;1.57002;1.57002;-0.0279882;-0.171805;0.0344315;-1.14285;-1.98179;-0.562376;
0.17874;-0.309367;0.00796875;-0.839368;-0.485041;-6.70138e-05;-1.04736;-1.52677;-2.26796;-1.83151;1.56985;1.57;-0.0277196;-0.17239;0.0343842;-1.14373;-1.98332;-0.561413;
0.25033;-0.437464;-0.00743119;-1.19749;-0.69164;-0.0145347;-1.0476;-1.5272;-2.26386;-1.82782;1.5698;1.57036;-0.0263537;-0.174847;0.0343822;-1.1479;-1.98921;-0.557838;
0.570627;-0.984894;0.0620277;-2.67622;-1.55566;0.0242153;-1.04736;-1.52775;-2.2456;-1.80628;1.56973;1.5699;-0.0193096;-0.18701;0.0340313;-1.16641;-2.0229;-0.539142;
0.663313;-1.15812;0.106753;-3.10046;-1.77605;0.0329237;-1.04724;-1.52763;-2.23191;-1.7943;1.5696;1.57004;-0.0145229;-0.195326;0.0347341;-1.17894;-2.04468;-0.526318;
0.802895;-1.37499;0.150753;-3.73449;-2.18066;-0.00952154;-1.04724;-1.52745;-2.21551;-1.77873;1.56988;1.57027;-0.00853694;-0.205527;0.0356978;-1.195;-2.07161;-0.510622;
0.741274;-1.27626;0.17454;-3.43878;-1.99669;-0.00404555;-1.0471;-1.52733;-2.19737;-1.76053;1.57004;1.56979;-0.00176634;-0.217102;0.0370106;-1.21217;-2.10268;-0.492546;
0.943379;-1.64197;0.318896;-4.40625;-2.51442;0.0553023;-1.04701;-1.52706;-2.17909;-1.74188;1.56961;1.56986;0.00497961;-0.228971;0.0387559;-1.22992;-2.13385;-0.472812;
0.966021;-1.65873;0.384746;-4.44901;-2.61281;-0.0579639;-1.04723;-1.52682;-2.15911;-1.72469;1.56942;1.57013;0.011936;-0.241197;0.041476;-1.24838;-2.16479;-0.452862;
1.09299;-1.88571;0.444797;-5.07121;-2.94769;-0.0205801;-1.04713;-1.5271;-2.13659;-1.70282;1.56982;1.57024;0.0203386;-0.25547;0.0447425;-1.26981;-2.20145;-0.429461;
1.25596;-2.16311;0.634372;-5.81107;-3.35879;0.0201734;-1.04702;-1.52739;-2.11179;-1.67444;1.56987;1.5697;0.0301002;-0.272275;0.0487433;-1.29442;-2.24567;-0.400368;
