TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
8.33895e-05;-0.000154307;-0.000152363;-0.000722686;-0.000251071;-2.3482e-05;-1.1519;-1.57516;-2.26889;-1.83239;1.56993;1.57006;-0.0469662;-0.165361;0.0279351;-1.22628;-1.89049;-0.640776;
7.65469e-05;-0.000138987;-0.000140166;-0.000657024;-0.000221759;-2.34639e-05;-1.15193;-1.5751;-2.26892;-1.83245;1.56993;1.57003;-0.0469811;-0.165339;0.0279502;-1.22628;-1.89047;-0.64082;
6.97193e-05;-0.000123671;-0.000127954;-0.000583311;-0.000210463;-9.7768e-06;-1.15191;-1.57513;-2.26888;-1.83239;1.56994;1.57007;-0.0469619;-0.165367;0.0279414;-1.22633;-1.89051;-0.640765;
6.51571e-05;-0.000113449;-0.000119831;-0.000539533;-0.000190935;-9.762e-06;-1.15191;-1.57513;-2.26892;-1.83244;1.56993;1.57002;-0.0469765;-0.165342;0.0279449;-1.22624;-1.89048;-0.64082;
6.06021e-05;-0.000103238;-0.000111693;-0.000495752;-0.000171413;-9.75257e-06;-1.15191;-1.57513;-2.2689;-1.83242;1.56992;1.57008;-0.0469749;-0.165353;0.0279423;-1.2263;-1.89046;-0.640758;
0.00205628;-0.00457667;-0.00362446;-0.0195683;-0.00867627;-1.45498e-05;-1.15193;-1.57514;-2.26892;-1.83237;1.56993;1.57007;-0.046974;-0.165355;0.0279312;-1.22634;-1.89048;-0.640777;
0.00860505;-0.0192675;-0.00388324;-0.0590738;-0.0262882;-2.30568e-05;-1.15191;-1.57514;-2.26886;-1.83214;1.56993;1.57007;-0.0469365;-0.165431;0.0279002;-1.22647;-1.89073;-0.64062;
0.0127204;-0.0285013;-0.00666793;-0.0892961;-0.039757;-3.01165e-05;-1.15197;-1.57517;-2.2686;-1.8317;1.56994;1.57007;-0.0468523;-0.165632;0.0278531;-1.22689;-1.89124;-0.640333;
0.0179533;-0.0402326;-0.00965101;-0.126573;-0.0563836;-3.87343e-05;-1.15191;-1.57514;-2.26827;-1.83112;1.56996;1.57006;-0.0467173;-0.165907;0.0278041;-1.22733;-1.89206;-0.639844;
0.0179533;-0.0402326;-0.00965101;-0.126573;-0.0563836;-3.87343e-05;-1.15191;-1.57514;-2.26827;-1.83112;1.56996;1.57006;-0.0467173;-0.165907;0.0278041;-1.22733;-1.89206;-0.639844;
0.0268869;-0.0602687;-0.0143018;-0.189403;-0.0843972;-5.32281e-05;-1.15191;-1.57516;-2.26737;-1.82947;1.56993;1.57007;-0.046388;-0.166662;0.0276392;-1.22868;-1.89413;-0.638542;
0.0302568;-0.06783;-0.0149252;-0.210859;-0.0939598;-5.80233e-05;-1.15192;-1.57516;-2.26676;-1.82827;1.56994;1.57003;-0.0461516;-0.167188;0.0275177;-1.22963;-1.89564;-0.637668;
0.036214;-0.0811892;-0.0196979;-0.256258;-0.114202;-6.8797e-05;-1.15192;-1.57518;-2.26608;-1.82685;1.56992;1.57004;-0.0458864;-0.167799;0.0273653;-1.23074;-1.89735;-0.636586;
0.0408714;-0.0916329;-0.0212444;-0.287363;-0.128074;-7.58703e-05;-1.15191;-1.57516;-2.26531;-1.82519;1.56992;1.57002;-0.0455734;-0.168497;0.0271935;-1.23202;-1.89938;-0.635359;
0.0457429;-0.102565;-0.0236157;-0.321517;-0.143292;-8.37723e-05;-1.15193;-1.57515;-2.26442;-1.8234;1.56996;1.57004;-0.0452199;-0.169274;0.0270138;-1.23353;-1.90156;-0.634033;
0.0504903;-0.113211;-0.0248109;-0.35257;-0.157141;-9.0792e-05;-1.15192;-1.57515;-2.26345;-1.82137;1.56992;1.57006;-0.0448395;-0.170147;0.0268079;-1.2351;-1.90402;-0.632466;
0.0607612;-0.136235;-0.0284099;-0.42204;-0.188132;-0.000106691;-1.15189;-1.57516;-2.2611;-1.81676;1.56994;1.57008;-0.0439162;-0.172189;0.0263649;-1.23881;-1.90973;-0.628929;
0.0644564;-0.144537;-0.0287853;-0.445432;-0.198542;-0.000111952;-1.15192;-1.57518;-2.2598;-1.81411;1.56996;1.57007;-0.0434039;-0.173342;0.0261081;-1.24094;-1.91295;-0.626963;
0.0696285;-0.156141;-0.0321378;-0.483822;-0.215653;-0.000121016;-1.15193;-1.57516;-2.2584;-1.81126;1.56993;1.57007;-0.0428556;-0.174593;0.0258427;-1.24322;-1.91646;-0.62476;
0.0747977;-0.167714;-0.03367;-0.518515;-0.23115;-0.000128957;-1.15189;-1.57522;-2.25692;-1.8083;1.56992;1.57004;-0.0422703;-0.175897;0.0255628;-1.24547;-1.92009;-0.622496;
0.0793399;-0.177918;-0.0344186;-0.548119;-0.244326;-0.000135634;-1.15192;-1.57518;-2.25528;-1.80522;1.56991;1.57006;-0.041651;-0.177306;0.0253067;-1.24805;-1.92396;-0.620053;
0.0839097;-0.188162;-0.0358741;-0.57936;-0.258264;-0.000142823;-1.15191;-1.57518;-2.2536;-1.8019;1.5699;1.57003;-0.0409924;-0.178787;0.0250186;-1.25067;-1.92808;-0.617473;
0.0883027;-0.198014;-0.0375665;-0.610149;-0.271992;-0.000149961;-1.15191;-1.57518;-2.25184;-1.79848;1.56996;1.57004;-0.0402906;-0.180321;0.0247342;-1.25347;-1.93231;-0.614856;
0.093912;-0.210582;-0.0382509;-0.64641;-0.288178;-0.000158087;-1.15189;-1.57516;-2.24996;-1.79485;1.56996;1.57007;-0.0395523;-0.181968;0.0244448;-1.25642;-1.93684;-0.611964;
0.0983243;-0.220485;-0.0392039;-0.676144;-0.301427;-0.000164879;-1.1519;-1.57518;-2.24801;-1.79109;1.56991;1.57006;-0.0388045;-0.183682;0.0241468;-1.25942;-1.9415;-0.608967;
0.103395;-0.231887;-0.0399881;-0.709804;-0.316395;-0.000172494;-1.15195;-1.57518;-2.24596;-1.78694;1.56996;1.57003;-0.0379802;-0.185517;0.023817;-1.26277;-1.94656;-0.605822;
0.113258;-0.253988;-0.0393641;-0.771407;-0.343892;-0.00018614;-1.15191;-1.5752;-2.24161;-1.778;1.56996;1.57006;-0.0362104;-0.189472;0.0231289;-1.2698;-1.95741;-0.598827;
