TCP speed;;;;;;Joint Angles;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;
0.505793;-1.13604;2.65397;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.32743;-0.891032;1.57;1.57;
0.463196;-1.04036;2.71137;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.30213;-0.865729;1.57;1.57;
0.419498;-0.942215;2.76417;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.27683;-0.840432;1.57;1.57;
0.374786;-0.84179;2.81225;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.25154;-0.815138;1.57;1.57;
0.329152;-0.739293;2.8555;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.22625;-0.789848;1.57;1.57;
0.282687;-0.63493;2.8938;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.20096;-0.764562;1.57;1.57;
0.235487;-0.528916;2.92706;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.17568;-0.739281;1.57;1.57;
0.187646;-0.421464;2.95519;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.1504;-0.714002;1.57;1.57;
0.139264;-0.312795;2.97812;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.12513;-0.688727;1.57;1.57;
0.0904395;-0.203132;2.9958;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.09985;-0.663454;1.57;1.57;
0.0412733;-0.0927021;3.00816;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.07459;-0.638185;1.57;1.57;
-0.00813339;0.018268;3.01518;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.04932;-0.612919;1.57;1.57;
-0.0576784;0.129549;3.01682;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-1.02406;-0.587656;1.57;1.57;
-0.107259;0.24091;3.01308;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-0.998795;-0.562395;1.57;1.57;
-0.156774;0.352124;3.00395;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-0.973537;-0.537137;1.57;1.57;
-0.206119;0.462954;2.98944;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-0.948282;-0.511882;1.57;1.57;
-0.255193;0.573177;2.96958;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-0.923028;-0.486628;1.57;1.57;
-0.303895;0.682564;2.94439;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-0.897777;-0.461377;1.57;1.57;
-0.352121;0.790883;2.91394;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-0.872528;-0.436128;1.57;1.57;
-0.399774;0.897915;2.87828;-5.73998;-2.55559;-1.2887e-09;-1.15192;-1.9198;-0.847282;-0.410882;1.57;1.57;released;
-0.434026;0.974845;2.76648;-5.59381;-2.49051;-1.25589e-09;-1.15192;-1.9198;-0.822789;-0.386389;1.57;1.57;
-0.46417;1.04255;2.65331;-5.44765;-2.42543;-1.22307e-09;-1.15192;-1.9198;-0.798936;-0.362536;1.57;1.57;
-0.49033;1.10131;2.53947;-5.30148;-2.36035;-1.19025e-09;-1.15192;-1.9198;-0.775723;-0.339323;1.57;1.57;
-0.512641;1.15142;2.42557;-5.15531;-2.29528;-1.15744e-09;-1.15192;-1.9198;-0.753151;-0.316751;1.57;1.57;
-0.512641;1.15142;2.42557;-5.15531;-2.29528;-1.15744e-09;-1.15192;-1.9198;-0.753151;-0.316751;1.57;1.57;
-0.531251;1.19322;2.31217;-5.00915;-2.2302;-1.12462e-09;-1.15192;-1.9198;-0.731218;-0.294818;1.57;1.57;
-0.546315;1.22705;2.19977;-4.86298;-2.16512;-1.0918e-09;-1.15192;-1.9198;-0.709925;-0.273525;1.57;1.57;
-0.557995;1.25329;2.08884;-4.71681;-2.10004;-1.05899e-09;-1.15192;-1.9198;-0.689272;-0.252872;1.57;1.57;
-0.566457;1.27229;1.97977;-4.57064;-2.03497;-1.02617e-09;-1.15192;-1.9198;-0.66926;-0.23286;1.57;1.57;
-0.571871;1.28445;1.8729;-4.42448;-1.96989;-9.93354e-10;-1.15192;-1.9198;-0.649887;-0.213487;1.57;1.57;
-0.574405;1.29015;1.76855;-4.27831;-1.90481;-9.60537e-10;-1.15192;-1.9198;-0.631154;-0.194754;1.57;1.57;
