TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-1.8008e-05;-2.42589e-05;-1.09395e-05;-3.76946e-05;-1.51784e-06;0.000179436;-1.15192;-1.69297;-2.2688;-1.83251;1.56998;1.56992;-0.0502917;-0.157927;0.0129076;-1.16308;-1.79301;-0.698203;
-1.8009e-05;-2.42576e-05;-1.09401e-05;-3.76956e-05;-1.51994e-06;0.000179437;-1.15192;-1.69295;-2.26881;-1.83253;1.57002;1.56992;-0.0502858;-0.157916;0.0129105;-1.16309;-1.793;-0.698243;
-1.80088e-05;-2.42574e-05;-1.09399e-05;-3.76986e-05;-1.51453e-06;0.000179436;-1.15192;-1.69292;-2.26881;-1.83251;1.57003;1.56995;-0.0502807;-0.15792;0.0129127;-1.16315;-1.79302;-0.698218;
-1.8009e-05;-2.4258e-05;-1.09397e-05;-3.76974e-05;-1.51575e-06;0.000179436;-1.15192;-1.69291;-2.26882;-1.83253;1.57002;1.56997;-0.0502868;-0.157914;0.0129156;-1.16315;-1.79299;-0.698198;
0.143661;-0.322584;-0.049531;-0.880434;-0.392148;-7.47344e-05;-1.15202;-1.69293;-2.26796;-1.8314;1.5698;1.57001;-0.0500842;-0.158543;0.0127546;-1.16419;-1.79459;-0.697104;
0.202778;-0.459364;-0.0905169;-1.26978;-0.565316;-0.0125185;-1.1522;-1.6934;-2.2638;-1.82776;1.56981;1.5704;-0.048965;-0.161103;0.0122927;-1.16867;-1.80032;-0.693548;
0.332737;-0.749369;-0.159864;-2.11431;-0.941412;-0.00688385;-1.15215;-1.69396;-2.25598;-1.81884;1.56982;1.57026;-0.0466012;-0.166389;0.0111146;-1.17724;-1.81387;-0.685968;
0.332737;-0.749369;-0.159864;-2.11431;-0.941412;-0.00688385;-1.15215;-1.69396;-2.25598;-1.81884;1.56982;1.57026;-0.0466012;-0.166389;0.0111146;-1.17724;-1.81387;-0.685968;
0.537781;-1.21783;-0.115162;-3.268;-1.44704;0.0418523;-1.15186;-1.69388;-2.23141;-1.79414;1.56951;1.57001;-0.0393877;-0.182692;0.00875388;-1.2031;-1.85506;-0.661839;
0.655839;-1.44777;-0.113643;-3.91367;-1.76553;-0.0132381;-1.15184;-1.69373;-2.21505;-1.77848;1.56978;1.5702;-0.0345019;-0.193471;0.00772932;-1.22066;-1.88144;-0.646086;
0.684045;-1.54912;-0.0192231;-4.08185;-1.80388;0.0191428;-1.15167;-1.69377;-2.17557;-1.73993;1.56952;1.56988;-0.0226844;-0.220079;0.00636604;-1.26166;-1.94579;-0.606082;
0.879208;-1.96751;0.062439;-5.20732;-2.31336;0.0319365;-1.15163;-1.69324;-2.15542;-1.71843;1.56966;1.5698;-0.0163152;-0.234259;0.00624559;-1.284;-1.98027;-0.583934;
0.879208;-1.96751;0.062439;-5.20732;-2.31336;0.0319365;-1.15163;-1.69324;-2.15542;-1.71843;1.56966;1.5698;-0.0163152;-0.234259;0.00624559;-1.284;-1.98027;-0.583934;
1.00645;-2.24049;0.204419;-5.84203;-2.62462;-0.014011;-1.15165;-1.69347;-2.10837;-1.67448;1.57023;1.57015;-0.00192579;-0.266158;0.0085282;-1.33249;-2.05354;-0.534523;
1.05352;-2.35232;0.356985;-6.04968;-2.70589;0.00120233;-1.15162;-1.69382;-2.08126;-1.6448;1.56986;1.56949;0.00673047;-0.285808;0.0105421;-1.3611;-2.09944;-0.502041;
1.05352;-2.35232;0.356985;-6.04968;-2.70589;0.00120233;-1.15162;-1.69382;-2.08126;-1.6448;1.56986;1.56949;0.00673047;-0.285808;0.0105421;-1.3611;-2.09944;-0.502041;
1.04862;-2.29948;0.59487;-5.98468;-2.7326;-0.031195;-1.15142;-1.69304;-2.02711;-1.59172;1.56994;1.56973;0.0237274;-0.323723;0.0185546;-1.417;-2.18534;-0.437131;release send;
1.01221;-2.26819;0.722031;-5.92095;-2.65316;-0.0146119;-1.15144;-1.69241;-2.00104;-1.5677;1.56996;1.56982;0.0316897;-0.341585;0.0239702;-1.44307;-2.2252;-0.405319;ack recived;
1.00991;-2.25214;0.79412;-5.88531;-2.6324;0.00651899;-1.15142;-1.69223;-1.97551;-1.54164;1.56982;1.56991;0.0397218;-0.359661;0.0298551;-1.46938;-2.26561;-0.371721;ack recived;
0.995775;-2.25451;0.907354;-5.90025;-2.62774;-0.0182478;-1.15153;-1.69255;-1.9495;-1.51541;1.56986;1.56974;0.0478065;-0.37786;0.0365946;-1.49553;-2.30596;-0.337369;ack recived;
0.995775;-2.25451;0.907354;-5.90025;-2.62774;-0.0182478;-1.15153;-1.69255;-1.9495;-1.51541;1.56986;1.56974;0.0478065;-0.37786;0.0365946;-1.49553;-2.30596;-0.337369;ack recived;
0.988989;-2.22996;1.0158;-5.89124;-2.61589;0.000756134;-1.15159;-1.69292;-1.92347;-1.48932;1.56964;1.5697;0.055771;-0.395924;0.0442196;-1.52132;-2.34572;-0.301794;ack recived;
0.972844;-2.19277;1.11247;-5.84425;-2.59652;-0.000394847;-1.15159;-1.69309;-1.89768;-1.46363;1.56955;1.56979;0.0636247;-0.413605;0.0527325;-1.54683;-2.38474;-0.265609;ack recived;
0.953085;-2.13128;1.33549;-5.86791;-2.62494;0.000108794;-1.15145;-1.69311;-1.84631;-1.41261;1.56981;1.56974;0.0791319;-0.448072;0.0724096;-1.59675;-2.4619;-0.190963;ack recived;
0.94078;-2.09935;1.45163;-5.88949;-2.63192;0.00596817;-1.15138;-1.69315;-1.82055;-1.38647;1.56987;1.56972;0.0867771;-0.465096;0.0835759;-1.62161;-2.50038;-0.151459;ack recived;
0.911253;-2.04546;1.54842;-5.8556;-2.61243;-0.00183826;-1.15144;-1.69317;-1.79483;-1.36076;1.5698;1.56971;0.0941294;-0.481699;0.0955707;-1.64611;-2.53796;-0.111036;ack recived;
