TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
-4.37946e-06;-1.76077e-05;-1.6534e-05;2.20602e-05;-9.99558e-06;0.000163897;-1.15184;-1.57517;-2.26883;-1.83259;1.57003;1.56992;-0.0469391;-0.165338;0.0279739;-1.22609;-1.89048;-0.640984;
-4.37857e-06;-1.76081e-05;-1.65343e-05;2.20584e-05;-9.98939e-06;0.000163898;-1.15189;-1.57516;-2.26881;-1.83255;1.57;1.56992;-0.0469445;-0.165358;0.0279725;-1.22616;-1.89052;-0.640949;
-4.37777e-06;-1.76068e-05;-1.6535e-05;2.20543e-05;-9.98552e-06;0.000163899;-1.15186;-1.57516;-2.2688;-1.83251;1.57004;1.56995;-0.0469258;-0.165368;0.0279679;-1.2262;-1.89055;-0.640936;
-4.37828e-06;-1.76076e-05;-1.65345e-05;2.20578e-05;-9.98917e-06;0.000163898;-1.15186;-1.57517;-2.26881;-1.83254;1.57002;1.56995;-0.0469367;-0.16536;0.0279688;-1.22616;-1.89051;-0.640936;
-4.37791e-06;-1.76077e-05;-1.65348e-05;2.20587e-05;-9.98791e-06;0.000163898;-1.15189;-1.5752;-2.2688;-1.83251;1.56999;1.56997;-0.0469426;-0.16537;0.0279632;-1.2262;-1.8905;-0.640906;
0.14199;-0.31862;-0.00593951;-0.858077;-0.382472;-2.04216e-05;-1.15198;-1.57518;-2.26807;-1.83132;1.56984;1.56996;-0.0467381;-0.165964;0.0278569;-1.22723;-1.89207;-0.63983;
0.20085;-0.455914;-0.0330601;-1.25908;-0.560963;-0.0152509;-1.15216;-1.57572;-2.26415;-1.82743;1.5698;1.57033;-0.045644;-0.168503;0.0276471;-1.2316;-1.89769;-0.636034;
0.214701;-0.484782;-0.0314165;-1.30669;-0.582292;-0.00869878;-1.15205;-1.5762;-2.25699;-1.81964;1.5699;1.56991;-0.0434469;-0.173334;0.0272591;-1.2389;-1.90992;-0.628964;
0.376669;-0.854206;0.00983093;-2.32565;-1.02239;0.0674028;-1.1518;-1.57602;-2.24879;-1.80953;1.56956;1.56978;-0.040868;-0.179254;0.0268077;-1.24818;-1.92535;-0.619084;
0.416204;-0.937102;0.0312734;-2.50176;-1.1077;0.033228;-1.15179;-1.57571;-2.23861;-1.80179;1.56946;1.57028;-0.0380988;-0.185524;0.0271422;-1.25826;-1.93992;-0.609289;
