TCP speed;;;;;;Joint Angles;;;;;;TCP position;;;;;;Release;
x;y;z;rx;ry;rz;q0;q1;q2;q3;q4;q5;x;y;z;rx;ry;rz;
0.757103;-1.69841;2.04753;-5.84981;-2.61525;-0.00341686;-1.15155;-1.57539;-1.7275;-1.29037;1.56985;1.56982;0.109611;-0.516275;0.192559;1.65455;2.55051;-0.10015;ack recived;
0.725831;-1.62866;2.13856;-5.84098;-2.60989;-0.00293247;-1.1515;-1.57541;-1.70187;-1.26455;1.5698;1.56984;0.115593;-0.529657;0.209346;1.63021;2.51297;-0.140875;ack recived;
0.69142;-1.5525;2.21775;-5.82665;-2.60013;-0.00248019;-1.15154;-1.57541;-1.67641;-1.23894;1.56973;1.56986;0.121229;-0.542388;0.226727;1.60588;2.4752;-0.180266;ack recived;
0.658552;-1.47507;2.29408;-5.81994;-2.5973;0.000272795;-1.15151;-1.57541;-1.65103;-1.2135;1.56982;1.56985;0.126647;-0.554439;0.244698;1.58123;2.43725;-0.218182;ack recived;
0.623278;-1.39628;2.37633;-5.82122;-2.59736;0.000290378;-1.15159;-1.57541;-1.62558;-1.18823;1.56992;1.56986;0.131728;-0.56587;0.263316;1.55651;2.39889;-0.255027;ack recived;
0.584456;-1.31467;2.44602;-5.8282;-2.60022;-0.00339703;-1.15162;-1.57539;-1.60008;-1.16262;1.56969;1.56985;0.136493;-0.576759;0.282646;1.53143;2.35999;-0.291555;ack recived;
0.544283;-1.22765;2.52054;-5.82542;-2.59888;-0.00537377;-1.15163;-1.57539;-1.57456;-1.13695;1.56974;1.56983;0.141044;-0.586951;0.302557;1.50593;2.32067;-0.326784;ack recived;
0.504031;-1.13458;2.579;-5.81093;-2.59257;-0.00339758;-1.15161;-1.5754;-1.54902;-1.11135;1.56986;1.56988;0.145315;-0.596416;0.323017;1.48024;2.28101;-0.360895;ack recived;
0.462454;-1.04002;2.63683;-5.80071;-2.58792;-0.00240536;-1.15162;-1.57533;-1.52364;-1.08604;1.56988;1.56985;0.149171;-0.605068;0.343876;1.45455;2.2414;-0.39396;ack recived;
0.420004;-0.944164;2.70444;-5.81058;-2.59239;-0.00192045;-1.15161;-1.57533;-1.49811;-1.06089;1.56969;1.56988;0.15266;-0.613006;0.365224;1.42884;2.20154;-0.426295;ack recived;
0.37744;-0.84779;2.74606;-5.80743;-2.59156;-0.00103008;-1.15166;-1.57527;-1.47279;-1.03542;1.56982;1.56984;0.155854;-0.620157;0.386986;1.4027;2.16126;-0.457508;ack recived;
0.287622;-0.64624;2.83303;-5.79841;-2.58719;-0.000728974;-1.15169;-1.5753;-1.42209;-0.984339;1.56974;1.56992;0.161157;-0.632172;0.431651;1.35016;2.07981;-0.517662;ack recived;
0.240748;-0.54114;2.8715;-5.79118;-2.584;-0.000675165;-1.15168;-1.57529;-1.39672;-0.958959;1.56981;1.56995;0.163296;-0.636906;0.45448;1.32359;2.03884;-0.546271;ack recived;
0.193277;-0.434718;2.90551;-5.78422;-2.58083;-0.000624314;-1.15168;-1.57532;-1.37132;-0.933879;1.56986;1.56995;0.16504;-0.64079;0.477505;1.29703;1.99791;-0.573933;ack recived;
0.14598;-0.329932;2.93047;-5.79463;-2.58543;-0.00135173;-1.15168;-1.57528;-1.34599;-0.908403;1.56996;1.56995;0.166425;-0.643839;0.500878;1.27009;1.95645;-0.600961;ack recived;
0.0979202;-0.222019;2.96144;-5.80779;-2.59132;-0.00109444;-1.15169;-1.57535;-1.32073;-0.882926;1.56987;1.56996;0.167392;-0.646089;0.524335;1.24325;1.9149;-0.627292;ack recived;
0.0486497;-0.11195;2.97089;-5.79956;-2.58725;-0.00127992;-1.15174;-1.57524;-1.29536;-0.857173;1.56975;1.56997;0.167914;-0.647422;0.548218;1.21604;1.87266;-0.653184;ack recived;
-0.00235233;-0.000438661;2.98321;-5.78823;-2.58228;-0.00299608;-1.15172;-1.57526;-1.26997;-0.831982;1.56992;1.56998;0.168165;-0.647841;0.571992;1.1888;1.83085;-0.67765;ack recived;
-0.051473;0.11091;2.97918;-5.75937;-2.56973;-0.00140158;-1.15179;-1.57524;-1.24456;-0.807056;1.57005;1.56997;0.167941;-0.647374;0.595803;1.16165;1.78901;-0.701391;ack recived;
-0.0995865;0.220357;2.9857;-5.78431;-2.58061;-0.000384378;-1.1518;-1.5752;-1.21923;-0.781745;1.56992;1.57002;0.1673;-0.646048;0.619714;1.13437;1.74668;-0.724742;ack recived;
-0.151488;0.333683;2.9929;-5.80675;-2.5904;-0.0023787;-1.15179;-1.57521;-1.19376;-0.756014;1.56992;1.57002;0.166317;-0.643832;0.643789;1.10657;1.70382;-0.74748;ack recived;
-0.20046;0.443749;2.97645;-5.80508;-2.58882;-0.00252;-1.15186;-1.57516;-1.16848;-0.730198;1.57005;1.57003;0.164907;-0.640703;0.667755;1.07867;1.66082;-0.769408;ack recived;
-0.249065;0.554985;2.94918;-5.761;-2.5687;-0.00117063;-1.15191;-1.57513;-1.14308;-0.70515;1.56993;1.57;0.163049;-0.636696;0.691461;1.05116;1.61823;-0.790599;ack recived;
-0.345524;0.773797;2.90421;-5.77156;-2.57296;0.000339759;-1.15193;-1.57503;-1.09248;-0.654728;1.57004;1.57006;0.158293;-0.626003;0.738388;0.995566;1.53252;-0.830572;ack recived;
-0.396702;0.888272;2.89017;-5.81001;-2.59032;-8.18452e-06;-1.15187;-1.575;-1.0672;-0.629163;1.56996;1.57009;0.155342;-0.619352;0.7616;0.967514;1.4892;-0.849734;ack recived;
-0.443224;0.993568;2.84687;-5.80379;-2.58707;0.000308786;-1.15192;-1.57493;-1.04197;-0.603537;1.56986;1.57007;0.151925;-0.611828;0.784557;0.939405;1.4457;-0.868384;ack recived;
-0.532915;1.19618;2.73865;-5.74005;-2.55788;0.000909311;-1.15201;-1.57483;-0.991328;-0.553785;1.57022;1.57006;0.144143;-0.594261;0.829163;0.88331;1.35967;-0.902832;ack recived;
-0.580604;1.30318;2.69934;-5.78002;-2.57568;0.000916358;-1.15199;-1.57478;-0.966025;-0.528206;1.5702;1.57008;0.139656;-0.584196;0.85107;0.854909;1.31585;-0.91944;ack recived;
-0.628759;1.40864;2.6529;-5.8028;-2.58599;-0.000833253;-1.15196;-1.5748;-0.940722;-0.502783;1.56991;1.57008;0.134784;-0.573408;0.872456;0.826743;1.27204;-0.935534;ack recived;
-0.668278;1.49801;2.57868;-5.78618;-2.57812;-0.000125884;-1.15199;-1.57478;-0.915502;-0.47742;1.57002;1.57007;0.129616;-0.561796;0.893332;0.798306;1.22836;-0.950771;ack recived;
-0.70961;1.5895;2.50605;-5.75135;-2.56295;-0.00210427;-1.15199;-1.57474;-0.890211;-0.452344;1.57026;1.57006;0.124161;-0.549397;0.913672;0.769792;1.18482;-0.965236;ack recived;
-0.748896;1.67812;2.43177;-5.74446;-2.5597;-0.00190315;-1.15202;-1.57478;-0.864991;-0.427317;1.57018;1.57009;0.118323;-0.53638;0.933377;0.741619;1.14122;-0.979246;ack recived;
-0.790722;1.77245;2.36337;-5.7691;-2.57082;-0.00151071;-1.15199;-1.57477;-0.839747;-0.401713;1.5702;1.57006;0.112149;-0.522489;0.952674;0.712891;1.09705;-0.992809;ack recived;
-0.83051;1.86284;2.28896;-5.77574;-2.57393;-0.000585257;-1.15197;-1.57478;-0.814419;-0.376541;1.56998;1.57013;0.105627;-0.507973;0.971283;0.684562;1.05298;-1.00573;ack recived;
-0.865646;1.94235;2.20143;-5.77832;-2.57464;-0.000319254;-1.15203;-1.57477;-0.789222;-0.351188;1.57018;1.57008;0.098869;-0.492747;0.989225;0.655794;1.00899;-1.01802;ack recived;
-0.900444;2.02034;2.11246;-5.75661;-2.56511;-0.000317182;-1.15201;-1.57474;-0.764014;-0.325884;1.57021;1.57008;0.0918157;-0.476877;1.00649;0.627115;0.964873;-1.02973;ack recived;
-0.93081;2.08928;2.01514;-5.7402;-2.55713;0.000581029;-1.15202;-1.57471;-0.738768;-0.300855;1.57018;1.57008;0.0844687;-0.460422;1.023;0.598582;0.920861;-1.04088;ack recived;
-0.93081;2.08928;2.01514;-5.7402;-2.55713;0.000581029;-1.15202;-1.57471;-0.738768;-0.300855;1.57018;1.57008;0.0844687;-0.460422;1.023;0.598582;0.920861;-1.04088;ack recived;
-0.998487;2.24102;1.83261;-5.7734;-2.57203;0.000532414;-1.15198;-1.57467;-0.688218;-0.25021;1.57002;1.57007;0.068943;-0.425659;1.05389;0.541117;0.832076;-1.06165;ack recived;
-0.965436;2.16626;1.63685;-5.49376;-2.44793;-0.000330179;-1.15201;-1.57459;-0.663381;-0.225229;1.57024;1.57004;0.060984;-0.407671;1.06796;0.512487;0.788379;-1.07098;ack recived;
-0.979882;2.19207;1.38725;-5.20969;-2.32077;-0.00854726;-1.15209;-1.57375;-0.61674;-0.178747;1.57015;1.5699;0.0450913;-0.372145;1.09237;0.458921;0.70573;-1.08748;ack recived;
-0.961927;2.15418;1.25671;-5.06703;-2.25678;-0.00661202;-1.15216;-1.57342;-0.59448;-0.15583;1.57015;1.56984;0.0372185;-0.354533;1.10303;0.43292;0.665665;-1.09479;ack recived;
-0.948135;2.12594;1.13899;-4.89415;-2.17969;-0.00364761;-1.15217;-1.57334;-0.5727;-0.134436;1.57033;1.56982;0.0296519;-0.337435;1.11259;0.408014;0.627638;-1.1012;ack recived;
-0.922776;2.06954;1.01701;-4.70722;-2.0963;-0.00332213;-1.1522;-1.57334;-0.551832;-0.113631;1.57016;1.56984;0.022199;-0.320833;1.12113;0.384313;0.590782;-1.10708;ack recived;
-0.869267;1.95014;0.806689;-4.37417;-1.94777;-0.00290347;-1.15223;-1.57382;-0.512338;-0.0742872;1.57012;1.56983;0.00810156;-0.28923;1.13548;0.339444;0.52158;-1.11712;ack recived;
-0.845544;1.89692;0.714968;-4.21832;-1.87866;-0.00252423;-1.15217;-1.57418;-0.493569;-0.0557979;1.57024;1.5698;0.00142892;-0.27413;1.14147;0.318152;0.489053;-1.12132;ack recived;
-0.826412;1.85578;0.632931;-4.10762;-1.82929;0.000314103;-1.15218;-1.57453;-0.475566;-0.0374401;1.57028;1.56984;-0.00513815;-0.259369;1.14677;0.297464;0.457227;-1.12517;ack recived;
-0.798704;1.79339;0.554572;-3.92685;-1.74894;0.000313957;-1.15215;-1.57487;-0.458009;-0.020223;1.57018;1.56986;-0.0115284;-0.245067;1.15146;0.277778;0.426726;-1.12861;ack recived;
-0.768299;1.7251;0.478357;-3.78842;-1.68728;0.000297465;-1.15215;-1.57507;-0.441109;-0.00316078;1.5702;1.56983;-0.0178204;-0.230933;1.1556;0.258365;0.396861;-1.1318;ack recived;
-0.748932;1.68159;0.415851;-3.64602;-1.6239;0.000327982;-1.15214;-1.57528;-0.424751;0.0130126;1.57027;1.56986;-0.0238729;-0.217291;1.15918;0.239738;0.368295;-1.13455;ack recived;
-0.730387;1.64007;0.356628;-3.53026;-1.57232;0.000569885;-1.15214;-1.57543;-0.409112;0.0289104;1.57023;1.56986;-0.0297918;-0.204027;1.16226;0.221726;0.340481;-1.13709;ack recived;
-0.703312;1.57929;0.301368;-3.37409;-1.50275;0.000587133;-1.15214;-1.57543;-0.394156;0.0436083;1.57016;1.56982;-0.035482;-0.191301;1.16488;0.204734;0.314186;-1.13935;ack recived;
-0.677029;1.52042;0.249933;-3.24626;-1.44567;0.00059721;-1.15217;-1.57545;-0.379836;0.0580782;1.57018;1.56986;-0.0409647;-0.178988;1.16707;0.188183;0.288711;-1.1413;ack recived;
-0.643756;1.44551;0.203172;-3.07335;-1.36884;0.000602328;-1.15213;-1.57538;-0.366055;0.0716121;1.57021;1.56983;-0.0462326;-0.167128;1.16889;0.172398;0.264468;-1.143;ack recived;
-0.618182;1.38817;0.160942;-2.95951;-1.31805;0.000611358;-1.15215;-1.57534;-0.353007;0.0850621;1.57024;1.5698;-0.0512966;-0.155742;1.17034;0.157102;0.240975;-1.14456;ack recived;
-0.583886;1.31083;0.1251;-2.78033;-1.23875;0.000498562;-1.15215;-1.57534;-0.340522;0.0970362;1.57012;1.56983;-0.0560609;-0.145126;1.1715;0.143137;0.219227;-1.14583;ack recived;
-0.555802;1.24777;0.092238;-2.6497;-1.18057;0.000507631;-1.15215;-1.57532;-0.32872;0.108927;1.57018;1.56983;-0.0606006;-0.134893;1.17237;0.129436;0.198239;-1.14694;ack recived;
-0.525863;1.18037;0.0639917;-2.50766;-1.11735;-6.33048e-05;-1.15214;-1.57529;-0.317626;0.120133;1.57028;1.5698;-0.0648611;-0.12526;1.17298;0.116499;0.178505;-1.14789;ack recived;
-0.491302;1.10147;0.0404967;-2.33577;-1.04294;-0.000419769;-1.15216;-1.57522;-0.307155;0.130067;1.57015;1.56986;-0.0688873;-0.116313;1.17343;0.104836;0.16027;-1.14865;ack recived;
-0.432607;0.966698;0.00286958;-2.05396;-0.922195;-0.000918242;-1.15211;-1.5753;-0.288134;0.149456;1.56999;1.56986;-0.0762243;-0.0999367;1.17374;0.0829071;0.126199;-1.14985;ack recived;
-0.400424;0.895062;-0.0107629;-1.90492;-0.854887;-0.000698033;-1.15215;-1.57528;-0.279511;0.157422;1.57006;1.56984;-0.0794488;-0.0926539;1.17375;0.0732794;0.111507;-1.15035;ack recived;
-0.370313;0.828514;-0.0221115;-1.77133;-0.793626;-0.000409192;-1.15211;-1.5753;-0.271607;0.164861;1.57003;1.56983;-0.0824157;-0.0860125;1.17365;0.0644889;0.0979029;-1.15069;ack recived;
-0.336465;0.753579;-0.0290209;-1.60838;-0.719365;-0.000197623;-1.15214;-1.57533;-0.264292;0.172756;1.56994;1.56982;-0.0852905;-0.0796167;1.17342;0.0558203;0.0843868;-1.15104;ack recived;
-0.305068;0.683569;-0.0340809;-1.45938;-0.652226;-9.1665e-05;-1.15214;-1.57526;-0.257707;0.178982;1.5701;1.56982;-0.0877568;-0.0739749;1.1732;0.0482636;0.0730495;-1.15126;ack recived;
-0.278634;0.624453;-0.0376801;-1.33073;-0.594516;-1.89309e-05;-1.1521;-1.5752;-0.251735;0.184849;1.57004;1.5698;-0.090061;-0.0688391;1.17293;0.0414634;0.0624625;-1.15142;ack recived;
-0.246034;0.551527;-0.0388772;-1.18075;-0.52735;0.000414284;-1.15214;-1.57517;-0.24635;0.190296;1.56999;1.56983;-0.0921438;-0.0641971;1.17263;0.0352566;0.0528053;-1.15157;ack recived;
-0.246034;0.551527;-0.0388772;-1.18075;-0.52735;0.000414284;-1.15214;-1.57517;-0.24635;0.190296;1.56999;1.56983;-0.0921438;-0.0641971;1.17263;0.0352566;0.0528053;-1.15157;ack recived;
-0.183413;0.411117;-0.0356896;-0.884375;-0.395002;0.000465584;-1.1521;-1.57514;-0.237523;0.199222;1.57003;1.5698;-0.0955157;-0.056601;1.17204;0.0249803;0.0370493;-1.15174;ack recived;
-0.122335;0.274217;-0.0269834;-0.591688;-0.264245;0.00050437;-1.15207;-1.57514;-0.231298;0.205329;1.57;1.56986;-0.0978691;-0.0513331;1.17157;0.0179008;0.0260972;-1.15173;ack recived;
-0.0904873;0.202726;-0.0206639;-0.437282;-0.195465;0.00091071;-1.15207;-1.57521;-0.229127;0.207429;1.57002;1.56985;-0.0986494;-0.0495734;1.1714;0.0154724;0.0223804;-1.15176;ack recived;
-0.0595179;0.133187;-0.0147858;-0.293306;-0.131345;0.000918006;-1.15203;-1.57523;-0.227628;0.208809;1.57004;1.56984;-0.099186;-0.0483525;1.17128;0.0138066;0.0198621;-1.15175;ack recived;
-0.0297841;0.0664467;-0.00758624;-0.147232;-0.0662765;0.00190833;-1.15201;-1.57522;-0.226765;0.209648;1.57;1.56985;-0.0995235;-0.0476189;1.17121;0.0128508;0.0183202;-1.15172;ack recived;
0.0114741;-0.0261596;0.00383008;0.0625011;0.02716;0.00191584;-1.15203;-1.57526;-0.226597;0.209852;1.57003;1.56984;-0.0995706;-0.0474973;1.17119;0.0126361;0.0180357;-1.15176;ack recived;
0.0300854;-0.0675088;0.00753317;0.146955;0.0654668;0.00276276;-1.15202;-1.57526;-0.226981;0.209481;1.57002;1.56988;-0.0994289;-0.0478232;1.17122;0.013082;0.018699;-1.15171;ack recived;
0.0212431;-0.0476526;0.00615292;0.110187;0.0490889;0.00276443;-1.15201;-1.57538;-0.22764;0.208845;1.57002;1.56988;-0.0991282;-0.0484981;1.17128;0.013897;0.0199546;-1.15169;ack recived;
